No,Sha,Valid,Message,Issue-url,Tag,Category
0,15cfdb584ac1d76204e2bb473c80d0f0e1acb57f,False,nan, , ,None
1,6dac7f74b246ca1c6172de75fa8cc5721b4e622e,False,mergemerge master branch wechaty, , ,None
2,1915140d5693c3f9a2907791b46e2d4142d727be,False,nan, , ,None
3,80425839ffebed13af69f1f32d528583f5d698a4,False,puppet wechaty enable, , ,None
4,0774512382bc768d16be68b92693f08d45eb0c79,False,conversationsupport conversationreturn readmarkclearer semanticstyle, , ,None
5,1708d0464624b68a58918de071c1afe45210c5b3,False,nan, , ,None
6,ad497957c8ae9c0adaeeee2fa05266703962ed87,False,promise, , ,None
7,1f80d421d19945801ec19f8eb70279a3078244fa,False,nan, , ,None
8,48065919cb85a65ffc4488db8dd25ad2c11f87f7,False,puppet service update, , ,None
9,fe7f1a14940f3ea3b423eba58ab9aca882c908a9,False,update, , ,None
10,e605f7bc818056f21cbb02476dfc618965beced3,False,nan, , ,None
11,5ddffc0404c030ff73b34ad3eb72cdaec46c9c44,False,unused clean removing, , ,None
12,60621f3b4ce06ae65b7c53b23d1c71587ca3e8f7,False,emitter typed remove, , ,None
13,4b07cb338b339c8997986f5663ea294e0491b883,False,nan, , ,None
14,7a63fd27f1d1ac415346ffce70316c5a74929640,False,exception reset, , ,None
15,1c3b85dba31defa48c04af9262cea8e316db92df,False,nan, , ,None
16,8f93ea32a59164668dd9448291f2f22737e4743d,False,nan, , ,None
17,aea93ce4ea33402afd874c3c961d8c57e6963af0,False,version padlocal updateversion padlocal updateissue eslint, , ,None
18,bd3fdda76e3c75dd6e151498962bb5b7e2e70bdf,False,puppet comment service explaination, , ,None
19,37200361aa81e27e96b9ccae33ac31d56b081fbc,False,nan, , ,None
20,d3753feef17bc7bb88c644aa6dacd02197f7d5e2,False,upgrade, , ,None
21,a7c2089aea726775ef21e5d933a467dc6f9c1e4a,False,nan, , ,None
22,48c35a2f26ae10f1fc33155a261ca319724d2ede,False,nan, , ,None
23,6956344a767b886a2ccc1a127dde7de527ac9a05,False,version padlocal dependency updatepuppet wechaty padlocal update, , ,None
24,af85220e7e01298561541788d2b60f617d240ef9,False,nan, , ,None
25,a41cfe7d88ce69f7f091c0812c67ced4bef14879,False,matrix, , ,None
26,30e4a1e8cbe500074f257a23f46407d00ec29a79,False,nan, , ,None
27,bdca65d2eebf6a91bbb89eedb6839e560edd068d,False,nan, , ,None
28,387192c82335d32277afae93e1252ad761dbc033,False,puppet service remove update, , ,None
29,7c414a32b8ea515363a4266bf609291f9a9b41a9,False,nan, , ,None
30,1edcf29970b68f2cdbd901050c809ce6bd9589e0,False,strategy testing, , ,None
31,fd97a08631bfd638ddae766fc81858f2504d375f,False,nan, , ,None
