No,Sha,Valid,Message,Issue-url,Tag,Category
0,61f4efe57db6b8c02a1470dd0894fbacf23ef19b,False,prepare release, , ,None
1,1663c34d87a747aef0a5d383cf30ca507d6637bd,False,mergetracking merge origin remote branch, , ,None
2,c392e7dcfdc6d3c5eff373c49f1373915e7b6327,False,prepare release, , ,None
3,46265ed8bad692b452d3cb74845868e1e470a21a,False,indentation array, , ,None
4,f0614985530fd2d4d0438deebc9112fce1ae73b1,False,creating mention inside nested, , ,None
5,4b7060e5b7aad24c34e72581cbb9728997394765,False,prepare release, , ,None
6,5e07387617ee5ec9013de4de4519c8c454d9ce4d,False,sponsor otwell taylor, , ,None
7,d8b7646c9b8c7e21c6753a77e1cb6c893e0bbcdc,False,prepare release, , ,None
8,b860cc3f89528d23fada4efd0effb7228a00d145,False,update changelog, , ,None
9,cf2261d4ba7c4dc386054724fb3773817dc97e7d,False,micro optimization, , ,None
10,5c01d7336b300afde67928c32fbc643446880221,False,contain might remember parser inlines, , ,None
11,a490ca57e8880bf8313249f7bd080ac54fcbe5e9,False,micro optimization cursor, , ,None
12,00218a0ce6cf34c852d25b1fd0b193546aa11b37,False,micro iteration optimization, , ,None
13,9d0d75a158df6e02253759199d44cf8f837a89a5,False,extra iteration avoid, , ,None
14,a26734091f18b96c7bd900f27715e0297fb50cbc,False,convenience specify return upgrading concrete, , ,None
15,8e379685c59424cd39883a1ed16bf38f3701aeb5,False,converter property, , ,None
16,118dbdfa4811d38eec8b956e9e8101bcb2b5efd8,False,expand completeness confirm folding, , ,None
17,52fb82aa202993e29281dc6dab65fd5e9cbfd1b5,False,check simplify block, , ,None
18,5f074d62eee551642afe78ce63839529b8076b27,False,strip leading, , ,None
19,6dc4e7f1f26adf1e6e547bf85ce432532050b764,False,cmark regression, , ,None
20,68ef5589dec9fb78d35353a018890eeb1b34d915,False,documentation, , ,None
21,34a9b27643f03990fb47fa6e3ef0c75177eafcf8,False,prepare release, , ,None
22,e4393816b9e45755eb73ea6607b99b16590659d2,False,additional optimize nodeiterator listener, , ,None
23,68e97421bedf98c99c6e1fe5d99edf3b695d4c11,False,replacement optimize placeholder, , ,None
24,e2ae17d2f15e17f3bf04f0cab4610571a76c1fe8,False,scrutinizer config, , ,None
25,72dc256f0f955a7cb75c351a561d3cca21b93619,False,nan, , ,None
26,ba239ed222f7abf1bd7e99f822cff36845549257,True,daadf merge efbdfddthephpleague request iterator mergeiterator,https://api.github.com/repos/octodns/octodns/issues/684, ,None
27,1da87adfafd82946d3eee052f6f2d74ecc067684,False,attribute iteration default configured, , ,None
28,f910ee029cd9054477822af97991a52aebd5ff62,False,support iteration optimization skipping inlines, , ,None
29,104b89c87eaee22b99a486b8d4c5fb0fae1abf92,False,nodeiterator implement, , ,None
30,efbdfd7d250a66f9a8a84634c0a30dcd562cf972,False,update changelog, , ,None
31,3d3a567b6905e02acf01879786550e48504f7443,True,mergethephpleague request commonmark mergecommonmark,https://api.github.com/repos/octodns/octodns/issues/682, ,None
32,8c42117fd944023b96783553167e5006cda813b6,False,optimize label parsing, , ,None
33,ee7cadc29e19bb4922798a6a3319da13ee89916e,False,normalization label backslash newlinecommit commonmark, , ,None
34,7ef949879791e074be132d5bb52c356553eac71c,False,newlines space collapse, , ,None
35,8bfad0ef8eda454234550ffffc772f689e2e54cf,False,paragraph interupting block incorrectlycommit mirror commonmark, , ,None
36,67db0fe46051083a717e5c70679c63f97957ff97,False,matching insensitivecommit mirror commonmark, , ,None
37,a201c11fae507cde24c71e9743344880d27c871f,False,instruction allow processingcommit mirror commonmark feecaadcfeae, , ,None
38,07bab9792e94870142277d4f94fe4d0906eefd37,False,commonmark, , ,None
39,8bb0e760f0f9a6618d24904c28d22895b1197a99,False,mergetracking merge origin remote branch, , ,None
40,d963b5b7ab6976096108976f7c13f8456d22958f,False,prepare release, , ,None
41,bfc5f4789ee067ab4be46969ae0d0dfd173d3f65,False,regex simplify break thematiccommit mirror commonmark, , ,None
42,224c14c088213b24cb7c1f2ae30fdd1d834538ea,False,handling autolinks, , ,None
43,8cde9a26daaaf6bfb0f5b1fdf7c0d7127e5b18be,False,reference, , ,None
44,026a56c8c94eec0db4f947d0bac957e4c9f4fbc8,False,reformat changelog, , ,None
45,851814c5134281076285e0d52f1cef0bbf5f588b,False,prepare release, , ,None
46,934f6ba5a80ba14ce6b75928fa81df7474f4085a,False,benchmark script, , ,None
47,d6fa2f44f3ee17f467c9e8c3f83baeb43ac5d47f,False,update, , ,None
48,391721b289a1bc2a60bc0cd0a8e4830193445d72,False,phpunit migrate configuration, , ,None
49,914452aca4c36dc08eec4f5fc589ecced32880d4,False,clean, , ,None
50,8a03395715542cae0fb11c916e866408684237a8,False,simplify check, , ,None
51,b7ed7b4ec5dd85a6ed7f54b0eccae0b572775fdd,True,mergethephpleague request version mergeversion,https://api.github.com/repos/octodns/octodns/issues/677, ,None
52,6d31db17e22492fdbf84330f3ad7d489e9622aba,False,unnecessary argument remove, , ,None
53,cb8461fe40b2e92397f88fd177b2ecaf2a64c1a2,False,return, , ,None
54,f831a6d466f55d7d708abc354bf35392ff38894f,False,nan, , ,None
55,8a932f6450f5d6c62209bc0a5e031e637dae5a5c,False,nan, , ,None
56,5be98d5bb4df6bce6d79865f56afc72c044f867c,False,feature, , ,None
57,3067b93862d0c166fa704618a9aa79ee7604c569,False,class property final, , ,None
58,77617d0be08e3bb0688aace72d1efde090e78a89,False,allowing string config value single, , ,None
59,a85d62f43d5763f9ab80a72bd65aa3dec3d0457a,False,version minimum, , ,None
60,42a3f7ec45641ff6f9a61e77d9f3d9ce58e0a41a,False,ending first frontmatter fence parsing, , ,None
61,8637eb0492e38306ca70206bbaeb6a6636c85e30,False,benchmark script, , ,None
62,5581717d0a1a0e5af7abdab1fc219bf9d840e321,False,footnote optimize orphaned search, , ,None
63,1af87058ef9f0ebe968e878cea8da7b5e6ce325f,False,missing, , ,None
64,d2e3b46ea59c3ee1f1d31bf6c3ad463e2e2b55ad,False,mergebranch merge, , ,None
65,0fe0a45c54f8b98b21fb31ad116f11d8d89bcf91,False,prepare release, , ,None
66,34ee97b19acde8b6f04de4f9681364a82bcba59b,False,indentation, , ,None
67,c62f1f100b835d76aa4bebbdef61e0f65330f9f1,False,extension benchmark variant, , ,None
68,6a073be4ffc8ca33cd648ac8034581d46d951a38,False,attribute every optimize character avoid space inspecting parsingprovides speed boost, , ,None
69,1d77747f46904076e08ca19a5d5f1db0c0c034ac,False,final, , ,None
70,2cdce663e3d42eb426292772b4a46ee816089d92,False,remove accidental, , ,None
71,9e7cfb5b463a5d64ccec5f59a53f8a0940f75c28,False,running, , ,None
72,f2c0a4043aa1b277c948bb5db37076f621417b28,False,mergebranch merge, , ,None
73,16c41c8655d8ee24f31c44e78121da038829351e,False,prepare release, , ,None
74,3157d02a91afb60030aa5b3f158450a993680158,False,phpstan error, , ,None
75,32ff478b63102ad88ed8852d4406c82c4b073020,False,block space incorrect tilde leading fenced parsing, , ,None
76,0f0425d521b42943c43f44856acb1c68124f0531,True,faefdd aeeeb mergemarkhalliwell request patch mergeexemption label stale close,https://api.github.com/repos/octodns/octodns/issues/673, ,None
77,a1e6ee7ba314fe5d5a1834aac1bc74f889ab0bb7,False,exemption label stale close, , ,None
78,6fa6efdd2b76d78762d9444e44a330714790aed5,False,button global style stylesheet, , ,None
79,90c3ef616f603bf60157942001ec6f38d1fcd11a,False,documentation, , ,None
80,bbd4adbc92b068296b7c6ea3c228b02ca982f2c0,False,refactor button style, , ,None
81,088016bc147c9227f673aee4adbb74b9f56a2b82,False,remove redundant stylesheet, , ,None
82,87e3832d81158f9eca1cac8bffe527d5f2e719d5,False,branch alias, , ,None
83,f1b31a1c62f887bd66a1a3ad27fde45c72cfd2d7,True,merge dbffdthephpleague request optimization mergemicro optimization cursor,https://api.github.com/repos/octodns/octodns/issues/666, ,None
84,c83432a28efca1db8cdc01035b4e167c5cd31a2f,False,micro optimization cursor, , ,None
85,d95bffd3bfc907fc5e2261c0cd4cf333d669b72f,True,bbfdfd mergethephpleague request merge tweaktweak,https://api.github.com/repos/octodns/octodns/issues/665, ,None
86,5c3f07160918295802eba1e5d0ee27d7d968945a,False,method block extract continuation parsing separate, , ,None
87,5e66931e0a433788b1664ba7bbd199c119169460,False,method rename comment, , ,None
88,c2820b9d1f2e6fc264c37dd2500fae071ed1523f,False,stability remove notice, , ,None
89,693d14ad3ffeff17cc630ce838e390684fc41b78,False,incorrect remove entry changelog, , ,None
90,701315b284220ceb12feff715090e0b42ee14d41,False,final, , ,None
91,7cbea151ace9a378c606c379196c4f9e82e632d3,False,actually abstract, , ,None
