No,Sha,Valid,Message,Issue-url,Tag,Category
29,1d56818658ebba36cce5f93fa4c5e2bcac310561,False, prometheus fix prometheus target url prometheus service binding localhost close http show_bug.cgi 1933560 signed dimitri savineau dsavinea redhat.com, , ,None
30,d704b05e52d10910cd68c49033933bd7e6ded268,False, ceph fact move device fact file instead reusing condition group osds device fact task move task dedicated file set condition import_tasks statement signed dimitri savineau dsavinea redhat.com, , ,None
31,55bca07cb612b766bc099e14e0a5661185a7f9a6,False, ceph validate check logical volume currently check logical volume used lvm_volumes list either bluestore data wal filestore data journal exist raw device batch scenario signed dimitri savineau dsavinea redhat.com, , ,None
32,808e7106dec5f3f7a743fe343ba3023c9390a1ba,False, ceph validate check journal wal device using dedicated device journal wal objecstore ceph volume lvm batch also validate device exist use gpt partition table addition device lvm_volume.data variable signed dimitri savineau dsavinea redhat.com, , ,None
33,7e50380f7fc101bf3533fff2d9c3082a59c54399,False, ceph validate use root device ansible_mounts instead using findmnt command find device associated root mount point use ansible_mounts fact signed dimitri savineau dsavinea redhat.com, , ,None
34,0df99dda8d8c5e1e9ce4384b480401043eaad07e,False, ceph validate resolve device already done ceph fact role signed dimitri savineau dsavinea redhat.com, , ,None
35,14d458b3b41ef5fe1ebdb8a70e52a65ff28b42f2,False, ceph validate check block presence first instead two parted call check first device exist test partition table signed dimitri savineau dsavinea redhat.com, , ,None
36,ac0342b72e045b96a31bed23c6baeceeecca7f23,False, ceph validate check device lvm_volumes 2888c08 introduced regression check_devices task file included based device variable file also validate device lvm_volumes variable close http show_bug.cgi 1906022 signed dimitri savineau dsavinea redhat.com, , ,None
37,9758e3c51303faf89d5c489f04539e278c49477e,False, container set tcmalloc value default ceph daemon need environment variable set 128mb default container setup close http show_bug.cgi 1970913 signed dimitri savineau dsavinea redhat.com, , ,None
38,a05730b38aba12478269c22887178c2917578cbe,True, rhcs remove iso install method starting rhcs iso available anymore remove iso variable variable close 6626 signed dimitri savineau dsavinea redhat.com,https://api.github.com/repos/ceph/ceph-ansible/issues/6626, ,None
39,beda1fe77381fbacb40fb75e5c06f36fbbad4a4a,False, library flake8 ceph ansible module commit ensure ceph ansible module pas flake8 properly signed wong hoi sing edison hswong3i pantarei design.com, , ,None
40,d191ba38d3bc47d4cff29a70f1386b0011a64543,False, workflow test python version let drop py3.6 py3.7 signed guillaume abrioux gabrioux redhat.com, , ,None
41,8c09497567308bac75212be77cdb7b1928d2d9a2,False, workflow add signed check add github workflow checking signed line commit message signed guillaume abrioux gabrioux redhat.com, , ,None
42,d71db816c6d393d6a42b934912f4f47a290c91fe,False, workflow add group_vars default check let use github workflow checking default value signed guillaume abrioux gabrioux redhat.com, , ,None
43,5ed423ad8886a8985a4aa6424930f812864845bc,False, workflow add syntax check add ansible syntax check test ansible lint workflow signed guillaume abrioux gabrioux redhat.com, , ,None
44,304d1cbb97e52f1546f98171ba7b7b6a658c85c1,False, test remove legacy file inventory used anywhere signed guillaume abrioux gabrioux redhat.com, , ,None
