No,Issue-url,Tag
19,https://api.github.com/repos/supercollider/supercollider/issues/5461,bug
42,https://api.github.com/repos/supercollider/supercollider/issues/5456,bug
54,https://api.github.com/repos/supercollider/supercollider/issues/5438,bug
152,https://api.github.com/repos/supercollider/supercollider/issues/4890,enhancement
220,https://api.github.com/repos/supercollider/supercollider/issues/5303.,bug
242,https://api.github.com/repos/supercollider/supercollider/issues/5277,bug
364,https://api.github.com/repos/supercollider/supercollider/issues/5175,bug
366,https://api.github.com/repos/supercollider/supercollider/issues/5182,bug
382,https://api.github.com/repos/supercollider/supercollider/issues/5175,bug
389,https://api.github.com/repos/supercollider/supercollider/issues/4964,enhancement
391,https://api.github.com/repos/supercollider/supercollider/issues/4366,bug
397,https://api.github.com/repos/supercollider/supercollider/issues/5145,bug
410,https://api.github.com/repos/supercollider/supercollider/issues/5122,bug
425,https://api.github.com/repos/supercollider/supercollider/issues/5113,bug
467,https://api.github.com/repos/supercollider/supercollider/issues/4939,bug
