No,Issue-url,Tag
38,https://api.github.com/repos/dateutil/dateutil/issues/1024,bug
63,https://api.github.com/repos/dateutil/dateutil/issues/993,bug
65,https://api.github.com/repos/dateutil/dateutil/issues/987,bug
83,https://api.github.com/repos/dateutil/dateutil/issues/973,bug
85,https://api.github.com/repos/dateutil/dateutil/issues/928,bug
94,https://api.github.com/repos/dateutil/dateutil/issues/935,enhancement
103,https://api.github.com/repos/dateutil/dateutil/issues/963,bug
203,https://api.github.com/repos/dateutil/dateutil/issues/859,enhancement
210,https://api.github.com/repos/dateutil/dateutil/issues/861,bug
242,https://api.github.com/repos/dateutil/dateutil/issues/635.,good first issue
245,https://api.github.com/repos/dateutil/dateutil/issues/820,bug
259,https://api.github.com/repos/dateutil/dateutil/issues/814,bug
267,https://api.github.com/repos/dateutil/dateutil/issues/811,enhancement
270,https://api.github.com/repos/dateutil/dateutil/issues/810,bug
274,https://api.github.com/repos/dateutil/dateutil/issues/801,bug
286,https://api.github.com/repos/dateutil/dateutil/issues/787,bug
318,https://api.github.com/repos/dateutil/dateutil/issues/426,enhancement
319,https://api.github.com/repos/dateutil/dateutil/issues/773,bug
347,https://api.github.com/repos/dateutil/dateutil/issues/658,bug
364,https://api.github.com/repos/dateutil/dateutil/issues/746,bug
384,https://api.github.com/repos/dateutil/dateutil/issues/721,bug
404,https://api.github.com/repos/dateutil/dateutil/issues/700,bug
429,https://api.github.com/repos/dateutil/dateutil/issues/693,bug
463,https://api.github.com/repos/dateutil/dateutil/issues/680,enhancement
465,https://api.github.com/repos/dateutil/dateutil/issues/672,enhancement
