No,Issue-url,Tag
9,https://api.github.com/repos/sequelpro/sequelpro/issues/1383,Bug
10,https://api.github.com/repos/sequelpro/sequelpro/issues/1854,Enhancement
209,https://api.github.com/repos/sequelpro/sequelpro/issues/2979,Enhancement
242,https://api.github.com/repos/sequelpro/sequelpro/issues/2863,Bug
243,https://api.github.com/repos/sequelpro/sequelpro/issues/2863,Bug
245,https://api.github.com/repos/sequelpro/sequelpro/issues/2852,Enhancement
249,https://api.github.com/repos/sequelpro/sequelpro/issues/2753,Bug
250,https://api.github.com/repos/sequelpro/sequelpro/issues/2753,Bug
251,https://api.github.com/repos/sequelpro/sequelpro/issues/2753,Bug
252,https://api.github.com/repos/sequelpro/sequelpro/issues/2753,Bug
260,https://api.github.com/repos/sequelpro/sequelpro/issues/2807,Enhancement
341,https://api.github.com/repos/sequelpro/sequelpro/issues/2629,Bug
342,https://api.github.com/repos/sequelpro/sequelpro/issues/2629,Bug
351,https://api.github.com/repos/sequelpro/sequelpro/issues/2708,Enhancement
352,https://api.github.com/repos/sequelpro/sequelpro/issues/2708,Enhancement
353,https://api.github.com/repos/sequelpro/sequelpro/issues/2711,Bug
354,https://api.github.com/repos/sequelpro/sequelpro/issues/2711,Bug
357,https://api.github.com/repos/sequelpro/sequelpro/issues/2524,Bug
413,https://api.github.com/repos/sequelpro/sequelpro/issues/2472,Bug
414,https://api.github.com/repos/sequelpro/sequelpro/issues/2489,Bug
415,https://api.github.com/repos/sequelpro/sequelpro/issues/2434,Bug
416,https://api.github.com/repos/sequelpro/sequelpro/issues/2434,Bug
417,https://api.github.com/repos/sequelpro/sequelpro/issues/2434,Bug
418,https://api.github.com/repos/sequelpro/sequelpro/issues/979,Bug
419,https://api.github.com/repos/sequelpro/sequelpro/issues/2414,Bug
426,https://api.github.com/repos/sequelpro/sequelpro/issues/2453,Bug
432,https://api.github.com/repos/sequelpro/sequelpro/issues/2482,Bug
443,https://api.github.com/repos/sequelpro/sequelpro/issues/2453,Bug
446,https://api.github.com/repos/sequelpro/sequelpro/issues/2470,Bug
456,https://api.github.com/repos/sequelpro/sequelpro/issues/346,Enhancement
496,https://api.github.com/repos/sequelpro/sequelpro/issues/2163,Bug
