No,Issue-url,Tag
8,https://api.github.com/repos/scipy/scipy/issues/14294,enhancement
37,https://api.github.com/repos/scipy/scipy/issues/14281,enhancement
188,https://api.github.com/repos/scipy/scipy/issues/13319,enhancement
190,https://api.github.com/repos/scipy/scipy/issues/13951,enhancement
226,https://api.github.com/repos/scipy/scipy/issues/13701,enhancement
228,https://api.github.com/repos/scipy/scipy/issues/13676,enhancement
350,https://api.github.com/repos/scipy/scipy/issues/13907,enhancement
354,https://api.github.com/repos/scipy/scipy/issues/13328,enhancement
384,https://api.github.com/repos/scipy/scipy/issues/13831,enhancement
388,https://api.github.com/repos/scipy/scipy/issues/13956,enhancement
432,https://api.github.com/repos/scipy/scipy/issues/13929,enhancement
468,https://api.github.com/repos/scipy/scipy/issues/13845,enhancement
