No,Issue-url,Tag
3,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/305,enhancement
4,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/317,bug
6,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/299,enhancement
8,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/295,enhancement
12,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/296,enhancement
13,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/313,enhancement
17,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/308,enhancement
18,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/236,enhancement
31,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/292,bug
36,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/287,bug
40,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/286,enhancement
42,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/284,enhancement
46,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/278,bug
48,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/275,enhancement
56,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/269,enhancement
60,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/267,bug
63,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/234,enhancement
71,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/257,enhancement
79,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/253,enhancement
82,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/252,enhancement
111,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/229,enhancement
127,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/216,enhancement
132,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/206,bug
139,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/156,bug
152,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/192,enhancement
153,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/190,enhancement
157,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/191,enhancement
161,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/179,enhancement
162,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/189,bug
163,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/167,bug
171,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/157,enhancement
178,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/169,enhancement
190,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/141,enhancement
191,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/151,enhancement
204,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/148,enhancement
221,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/139,enhancement
223,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/137,bug
224,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/136,bug
225,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/134,enhancement
226,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/138,enhancement
239,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/125,bug
240,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/130,enhancement
242,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/111,enhancement
243,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/111,enhancement
260,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/113,enhancement
263,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/107,enhancement
322,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/86,enhancement
343,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/84,enhancement
356,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/84,enhancement
391,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/65,enhancement
398,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/58,bug
413,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/47,enhancement
419,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/34,enhancement
457,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/37,enhancement
482,https://api.github.com/repos/SRombauts/SQLiteCpp/issues/21,enhancement
