sha,message,catetory,matched,labels
6571a0700f3ab8d9c6fcbf48bc27ee737292b114,"['workaround', 'firefox', 'crash']",Risky_resource_management,{'crash': 100},
1d9a8e18e829d23a8fd2469a93a494adf94bdb00,"['crash', 'workaround']",Risky_resource_management,{'crash': 100},
