sha,message,catetory,matched
b37123a63aa8a0e103accb54d7c3ab08bc44a095,"['revision', 'cluster', 'maibox', 'futureprocess', 'memory', 'leak', 'partition', 'perf', 'loop', 'entire', 'partition', 'dictionary', 'event', 'good', 'reverse']",Risky_resource_management,{'memory leak': 100}
caac96650a7777f0eaa3219341dede5fc2daae10,"['persistence', 'range', 'case', 'useful', 'able', 'replay', 'certain', 'point', 'time', 'certain', 'index', 'example', 'unexpected', 'behavior', 'system', 'crash', 'system', 'message', 'observe']",General,{'crash': 100}
