sha,message,catetory,matched
7db9f1c58d98ce66fc4e1162e5baed02eba95f77,"['android', 'crash']",General,{'crash': 100}
ab20349142a2afbd0637238cc5f21d0efe4f2da2,"['gorilla', 'update', 'websocketgorilla', 'advisory', 'websocket', 'security']",General,{'security': 100}
d0b52a77c16961230d240caba04fa805f5ee4aa0,"['response', 'empty', 'crash']",General,{'crash': 100}
