sha,message,catetory,matched,labels
556f7adab195db196f5568b569d47a862bf3dc34,"['mergerequest', 'phpbb', 'ticket', 'ensure', 'state', 'security', 'entity']",General,{'security': 100},
8e5a635bfbfc24066c5f1d8cbe28d722168efa6b,"['ecdfd', 'mergerequest', 'phpbb', 'ticket', 'securityimage', 'ticket', 'bbcode', 'security']",General,{'security': 100},
cb833db5fbd65bfde538a71f143f59afc0f186ef,"['mergerequest', 'phpbb', 'ticket', 'securitycheck', 'ticket', 'group', 'membership', 'security']",General,{'security': 100},
3aa4b67173a5b4e1718bce3279b321cfc5e048c3,"['mergerequest', 'phpbb', 'ticket', 'securitycheck', 'ticket', 'token', 'security', 'folder']",General,{'security': 100},
03757a06635999dd2d7a5ecc968567b90c0b91b4,"['mergerequest', 'phpbb', 'ticket', 'securityticket', 'invalid', 'token', 'submit', 'security']",General,{'security': 100},
954c0ddf3e04382e08c0ff417090e6a3325fc290,"['edbcc', 'mergerequest', 'phpbb', 'ticket', 'securityticket', 'invalid', 'markup', 'security']",General,{'security': 100},
01e64dbc9c3a9738f58858a8b22e5d8c8d3f682b,"['ccdaa', 'mergerequest', 'phpbb', 'ticket', 'ticket', 'security']",General,{'security': 100},
42e278e1c321097a0c9b9a50448ad35157b7ab2b,"['becea', 'mergerequest', 'phpbb', 'ticket', 'securitydisable', 'local', 'ticket', 'client', 'security']",General,{'security': 100},
26215517dd04434333bddbc06b9ae92a845fb494,"['cdffef', 'mergerequest', 'phpbb', 'ticket', 'securitycheck', 'matter', 'ticket', 'submit', 'security']",General,{'security': 100},
db43961de63d169b6a3dbe6a75f421cd94f1e5fa,"['mergerequest', 'phpbb', 'ticket', 'securitydisable', 'ticket', 'avatar', 'remote', 'functionality', 'warning', 'security']",General,{'security': 100},
308dd49bb95b84345efb23e91ea03f9a91c5a2d4,"['fcefa', 'dfecc', 'mergerequest', 'phpbb', 'ticket', 'securityfield', 'ticket', 'input', 'validation', 'security']",General,{'security': 100},
3075d2fecc9f5bb780bb478c0851a704c7f9b392,"['mergerequest', 'phpbb', 'ticket', 'search', 'security', 'wildcard']",General,{'security': 100},
85ecd2c7bea9eec65e1f0be8b736de22df249c79,"['abbec', 'mergephpbb', 'request', 'security', 'mergesecurity', 'update', 'jquery']",General,{'security': 100},
db7f4d4c9523e5dc36c62ec6fe647aaf7708daaa,"['dcedb', 'bbdccbc', 'mergeticket', 'request', 'hubaishan', 'mergeticket', 'upload', 'mssql', 'crash']",Risky_resource_management,{'crash': 100},
0dfbb60bc322ccda7a6e670a5f5ec9ab2f536eac,"['mergerequest', 'phpbb', 'ticket', 'securitythumbnail', 'ticket', 'event', 'imagemagick', 'support', 'security']",General,{'security': 100},
05513b96a4ab045b92376cd24cf96b27bf6b55c8,"['ebecd', 'mergerequest', 'phpbb', 'ticket', 'ticket', 'avatar', 'address', 'remote', 'security']",General,{'security': 100},
34e9b4d0660151fffe60291ad4c51359af3c7dd9,"['mergerequest', 'phpbb', 'ticket', 'securitycheck', 'version', 'ticket', 'validate', 'helper', 'security']",General,{'security': 100},
6f897568daef94545e61f361b2b4f77023a50a28,"['bdcee', 'mergerequest', 'phpbb', 'ticket', 'securityprotection', 'ticket', 'directory', 'migration', 'harden', 'security']",General,{'security': 100},
0b405a2cdc108a42a3d1d49218b733a76f6c2237,"['mergerequest', 'phpbb', 'ticket', 'ticket', 'avatar', 'address', 'remote', 'security']",General,{'security': 100},
4ed45c4e1276335ff6581a4db58b0173c9905528,"['mergerequest', 'phpbb', 'ticket', 'securitycheck', 'version', 'ticket', 'validate', 'helper', 'security']",General,{'security': 100},
c99820eb6b13e928fdc2138840e0ec77cd4fe6c9,"['mergerequest', 'phpbb', 'ticket', 'securityprotection', 'ticket', 'directory', 'migration', 'harden', 'security']",General,{'security': 100},
c1d835b6b4a8d1cc987842725e3442b627f81796,"['adeec', 'mergerequest', 'phpbb', 'ticket', 'search', 'query', 'security', 'filter']",General,{'security': 100},
c00647927493115571be06f6fca30bc8bdd9f85e,"['cffcdb', 'mergeticket', 'request', 'vsephpbb', 'mergepreserve', 'ticket', 'overflow', 'scrollticket', 'vsephpbbpreserve', 'ticket', 'overflow', 'scroll']",Risky_resource_management,{'overflow': 100},
05ccbc512dbb14731e23457dbd4e6591ef27e0fb,"['mergerequest', 'ticket', 'mergeticket', 'header', 'access', 'controller', 'default']",Porous_defenses,{'access controller': 90},
6217a519202b7394cbad9982282ab7208f1f5ed4,"['mergeticket', 'request', 'nickvergessen', 'mergeticket', 'changelog', 'issue', 'final', 'security']",General,{'security': 100},
e4c8e4905c327b73252667f09500b3248c55e86c,"['aacdc', 'mergerequest', 'phpbb', 'ticket', 'securityticket', 'style', 'token', 'security', 'management']",General,{'security': 100},
d7553893c4c211edb1a42f91276edbcc27bfd330,"['fadfb', 'mergesecurity', 'request', 'ticket', 'mergeticket', 'login', 'security', 'character']",General,{'security': 100},
deaa0a8c758acb14a1944c5d3c1fa24364f503c4,"['ccbce', 'mergerequest', 'nickvergessen', 'ticket', 'securityvalue', 'route', 'ticket', 'string', 'controller', 'security']",General,{'security': 100},
5ae331a27aa4a19548fd8c97c84f3c973fdbaf81,"['mergerequest', 'ticket', 'paybas', 'mergetopic', 'ticket', 'overflow']",Risky_resource_management,{'overflow': 100},
