sha,message,catetory,matched
8356f07d01123f6d6a74855bc36e548390541af3,"['password', 'access', 'control', 'default', 'service']",Porous_defenses,{'access control': 100}
eee580371ec00fc715a78df05ed7707df1d784fb,"['crash', 'potential']",General,{'crash': 100}
2e9f2195b4165ae5e452f6253b0ebc81168cb048,"['crash', 'service']",General,{'crash': 100}
ad4c084b29c777efec61543b66bd7323840e9e35,"['mitigate', 'check', 'configuration', 'crash', 'accessory']",General,{'crash': 100}
d958d30815d48695a484e9dadf36a31acf13fd01,"['advertiser', 'crash']",General,{'crash': 100}
850e44ef57f917d9ae0760db1fecc70ecdb77bee,"['sparate', 'security', 'policy']",General,{'security': 100}
8797b5556fa9d0ee846179ad8149659deb477241,"['dependency', 'update', 'management', 'state', 'crash']",General,{'crash': 100}
1388691bb35480330a684bddd4b3d4a9f3538ab1,"['eabcd', 'mergeproxy', 'request', 'crashproxy', 'improper', 'crash']",General,{'crash': 100}
f9d238afc0e1f8b8b8f34b63119f0ccf3af2d2e5,"['improper', 'crash', 'packet']",General,{'crash': 100}
e8146ffa2b6d9f38046f5efa968079e5bbac56c6,"['security', 'enhancement']",General,{'security': 100}
d804258dbf6f362ac1bb3623684e51178f50a0ec,"['crash', 'returnextern']",General,{'crash': 100}
4696b22aefd4d7367abcb5f6b28e87db42be53dd,"['cfadd', 'mergequicksilver', 'request', 'crash', 'webloccrash', 'webloc']",General,{'crash': 100}
23019f30b799caa10c1f560b3afd3372362fec46,"['format', 'string', 'insecure']",General,{'insecure': 100}
9715533f6b0ea521ce3fb394395572c673adad2f,"['crash', 'preference', 'restart', 'reporterclarkewd', 'rework']",General,{'crash': 100}
998ef9f54e66d8eaa0b7210773fa544df3ca3094,"['crash', 'child', 'result', 'table']",General,{'crash': 100}
7a1cd74ddea7f6f31be9e73371e4491f478ac805,"['crash', 'startupactivation', 'setting', 'hotkey', 'problem']",General,{'crash': 100}
39e795a775c1d9d758f084a3fa42b8d2fac1e806,"['custom', 'trigger', 'editable', 'crash']",General,{'crash': 100}
4229320062d8d7bcef7db06d2a707891f6bd19bf,"['crash', 'cgsprivate']",General,{'crash': 100}
270754d4a9719eceb32ee766ec4ebef9ed0bd650,"['result', 'crash']",General,{'crash': 100}
5a8a9226a6384bf9fdcb5ef3fffadabd793319f1,"['crash', 'general']",General,{'crash': 100}
0e11860defa1a0c05d8c384bbc4f05081917a94b,"['deallocingavoids', 'interface', 'height', 'result', 'crash']",General,{'crash': 100}
6a291a5884f736f9bdfad59719b19d7cb24958a6,"['crash', 'ensure', 'faulty']",General,{'crash': 100}
b032e1202ace63414ef90c34291a0f7d065022bb,"['prefs', 'crash', 'update', 'extralocalise', 'string']",General,{'crash': 100}
77f79591cbcf13e5e9089c34346887cec85aa1fd,"['mergemerge', 'pjrobertson', 'attempt', 'crash']",General,{'crash': 100}
d47aec319f32c773e8512c23da4daf8df9698357,"['attempt', 'crash']",General,{'crash': 100}
5985b7f54c82199b4a6af17694a72459c8f2198d,"['catalog', 'entry', 'crash', 'preventindexisvalid', 'progress', 'callingcould']",General,{'crash': 100}
a648d8acc2ab59e37fd052fb61913efecfd405e4,"['attempt', 'crash', 'catalog']",General,{'crash': 100}
c30d511ac4254a88627c3b0c4521d53828a835c7,"['input', 'crash']",General,{'crash': 100}
c3ad39dee0983ee105afc771c7df61a52da18f6e,"['exception', 'string', 'crash']",General,{'crash': 100}
4f0d31a549c641083c11ada03c81933c7cfab42d,"['content', 'contains', 'object', 'entry', 'crash']",General,{'crash': 100}
ee5c9f72e28ceef5d2557c22385c3c5c526aa86f,"['folder', 'crash', 'download']",General,{'crash': 100}
e4c30fc512bf4a9f864091c6853abdd0d169a9dc,"['loadedindexes', 'release', 'crash']",General,{'crash': 100}
704ee74b565d2a2799733e9d01ec9735afbe5fd7,"['multi', 'crash']",General,{'crash': 100}
60e6e9b29b73fd93083c8e5d0bd93eac772e8db9,"['mergemerge', 'pjrobertson', 'release', 'requestcomment', 'reporter', 'crash', 'field', 'return']",General,{'crash': 100}
df642d41da707e26d666634956f31c8bafc18bf7,"['release', 'drain', 'apple', 'documentationanother', 'report', 'person', 'crash', 'receivinganother', 'existent', 'report', 'alloc', 'release', 'crash']",General,{'crash': 100}
