sha,message,catetory,matched
dd4323d3fda3e2d2b97298c5cd407695de2fe2f4,"['http', 'github', 'tootallnate', 'java', 'websocket', 'issue', 'deadlock', 'race', 'condition']",Risky_resource_management,{'deadlock': 100}
2b8ecd600fa527a74f44b135b491795ef8a994ac,"['pull', 'request', 'raydelto', 'master', 'server', 'crash', 'issue']",General,{'crash': 100}
dbced22dd20c54db7ccc27c1397a186c1ed56763,"['server', 'crash', 'issue']",General,{'crash': 100}
05d2e2ed045d955947d944d7111ce3e6758843b6,"['pull', 'request', 'wunderkinder', 'master', 'stack', 'overflow', 'error']",Risky_resource_management,{'stack overflow': 100}
0c804c44b073081402b2bfb198e7d0c48a847442,"['stack', 'overflow', 'error']",Risky_resource_management,{'stack overflow': 100}
2b0bb8d0e85430a91ae2d6f438e83a9c995ddd9e,"['deadlock', 'server', 'thanks', 'dehecht']",Risky_resource_management,{'deadlock': 100}
5c453efd5f45646d7b98199d4841e86445519f83,"['crash', 'socket']",General,{'crash': 100}
f0ef4df65bb0ed41f1ce43a9fccfbdc80f6b10b4,"['quick', 'deadlock']",Risky_resource_management,{'deadlock': 100}
