message,fuzzy
"['auditresolve', 'security', 'vulnerability', 'value']",{'Security': 100}
"['security', 'mixinsecurity', 'update', 'jonschlinkert', 'mixin', 'includesrelease', 'mixin', 'jonschlinkertmixin', 'jonschlinkert', 'commitspreview', 'dependabot']",{'Security': 100}
"['valid', 'length']",{'length': 100}
"['comment', 'stylelintbourbon', 'issue', 'thoughtbot']",{'issue': 100}
"['security', 'lodashupdate', 'security', 'lodash', 'includesrelease', 'lodashlodash', 'commitspreview', 'dependabot']",{'Security': 100}
"['issue', 'request', 'templatecomment', 'describeissue', 'simplify', 'section', 'templateencourage', 'people', 'provideremove', 'bourbon', 'visualgovernment', 'digital', 'standardmaster', 'alphagovissue', 'bourbon', 'close', 'thoughtbot']",{'issue': 100}
"['stack', 'overflow']","{'stack': 100, 'overflow': 100}"
"['stack', 'documentation']",{'stack': 100}
"['overflow', 'renamealign', 'overflow', 'renames', 'mixinupdate']",{'overflow': 100}
"['system', 'update', 'stacksystem', 'update', 'stack', 'includefollows', 'system', 'morse', 'mrmrs']",{'stack': 100}
"['readmebourbon', 'issue', 'thoughtbot']",{'issue': 100}
"['github', 'issue', 'request', 'templateclosecloseissue', 'request', 'template']",{'issue': 100}
"['incorrect', 'statement']",{'incorrect': 100}
"['stack', 'prefix', 'variablevariable', 'clear', 'source', 'georgia', 'somethingprovides', 'clarity', 'stack', 'output']",{'stack': 100}
"['directory', 'bourbon', 'restructureresolve', 'bourbon', 'issue', 'thoughtbotresolve', 'bourbon', 'issue', 'thoughtbotprovide', 'asset', 'stylesheets', 'bourbonasset', 'agnostic', 'stylesheets']",{'issue': 100}
"['stack', 'rename', 'modernizeclose']",{'stack': 100}
"['sassdoc', 'function', 'length']",{'length': 100}
"['stack', 'family', 'renamesassdoc']",{'stack': 100}
"['check', 'function', 'length', 'value']",{'length': 100}
"['validate', 'function', 'length']",{'length': 100}
"['selection', 'mixinselection', 'mixin', 'issue']",{'issue': 100}
"['mergehotfix', 'thoughtbot', 'scope', 'requestscope', 'issue', 'function', 'color']",{'issue': 100}
"['scope', 'issue', 'function', 'color']",{'issue': 100}
"['mergehelvetica', 'roboto', 'stack', 'jmmcduffie', 'requesthelvetica', 'roboto', 'android', 'support', 'stack']",{'stack': 100}
"['mixin', 'clearfix', 'incorrect']",{'incorrect': 100}
"['issue', 'author', 'diacritic']",{'issue': 100}
"['value', 'incorrect', 'function', 'timing']",{'incorrect': 100}
