sha,message,catetory,matched,labels
73ec1865ab601e4e4191227f2cb0a3395520e1ce,"['removestuff', 'thing', 'homepagetunnel', 'server', 'crash']",Risky_resource_management,{'crash': 100},
6294e583043cf5596c43edc408f321eb8099644f,"['element', 'security', 'policy', 'contentdeploy', 'issue', 'docker', 'spantaleev', 'matrix', 'ansibleaccordingheader', 'security', 'header', 'elementpolicy']",General,{'security': 100},
efa7486b888071c4966a86d4428dbed6486add62,"['mergesakkiii', 'patch', 'request', 'mergeelement', 'security', 'policy', 'content']",General,{'security': 100},
0217644b48d23b499e6590829e67348386cb9614,"['element', 'security', 'policy', 'contentvector', 'element', 'practice', 'configuration']",General,{'security': 100},
a2bf38854c3ccbe5f7d1742bf429cd0cb726f52e,"['mergesakkiii', 'patch', 'request', 'mergeupdate', 'security', 'prometheus']",General,{'security': 100},
897c9825172b6872126019202ed0113d0aca3ce4,"['update', 'security', 'prometheus']",General,{'security': 100},
0ccf0fbf1cbcc6a50d4dc17473e9f91b2e262ef8,"['preload', 'enablespreloadingwillingness', 'browsertransport', 'preload', 'security', 'strictprotectionrather', 'attack', 'response', 'block', 'browser', 'detects']",General,{'security': 100},
0f9a4557193d249e9ee746c98de6f2a6767d434c,"['security', 'exporterreverts']",General,{'security': 100},
51b46697c5961e0866bcba8f2795018cd7986662,"['mergesakkiii', 'master', 'request', 'mergeimprove', 'security', 'grafana']",General,{'security': 100},
05042f5ff164dc9eebea2746bbb1fd2e2afe6555,"['security', 'grafanaoption', 'duplicate', 'contentoption', 'header', 'frameconsider', 'referrer', 'policy', 'variablesecure', 'cookyconfiguration', 'administration', 'content', 'security', 'variable', 'grafana']",General,{'security': 100},
da82d670af40140923fee9703d3c5487df1b6805,"['document', 'security', 'consideration', 'privacy']",General,{'security': 100},
f3dd34672416e48692e158a45b27b1d1b3089b0c,"['security', 'signal']",General,{'security': 100},
3943a747b8fa0f7be0dfb03e84191b43d11adbf2,"['ddbaa', 'ebffe', 'mergebranch', 'master', 'crash', 'mergedeploy', 'close', 'docker', 'spantaleev', 'matrix', 'ansible']",Risky_resource_management,{'crash': 100},
8b59402f7918228a1bd583cad96ae77a38f0523c,"['coturn', 'upgradesecurity', 'vulnerabilitycoturn', 'security', 'advisory']",General,{'security': 100},
5a8068d8d138b32c31f6365b6cc2eef4c405e214,"['mergeteutats', 'request', 'mergeupdate', 'security', 'jitsi']",General,{'security': 100},
d8a400722028868ea775fa168b14211eba847f6e,"['upgradecurrent', 'patch', 'security', 'activity', 'relayers', 'networksynapse', 'mxisd']",General,{'security': 100},
24cf27c60c2d8c12f1f9c340f587a53cb76784de,"['isolate', 'coturn', 'docker', 'default', 'network', 'matrix', 'servicecoturn', 'accessibleimprovement', 'coturn', 'security', 'networkpeople', 'default', 'reachable', 'service', 'dockernetwork', 'private', 'dockergithub']",General,{'security': 100},
9dad4c7c2dfae0685e8d42e1525f7ae4726f7ba6,"['client', 'matrix', 'issue', 'githubclient', 'mechanism', 'knownplaybook', 'simple', 'origin', 'cross', 'preflight', 'appropriateorigin', 'access', 'control', 'allowreverse', 'attempt', 'issue', 'githubevery', 'wouldproxy', 'upstream']",Porous_defenses,{'access control': 100},
