sha,message,catetory,matched,labels
4ea137d7f9fd3a43574da528b6140cd2746153a8,"['crash', 'resume']",Risky_resource_management,{'crash': 100},
3c5aad71e2f00581ebfeed76adfed60e8086c5ea,"['crash', 'condition']",Risky_resource_management,{'crash': 100},
b74eda1627931b69c0824068b8f647c375176027,"['crash', 'issue']",Risky_resource_management,{'crash': 100},
cd1365744b1abf0cd8247f394b26d0ad34fcae39,"['stack', 'overflow']",Risky_resource_management,{'stack overflow': 100},
4065777b2ae819af0964a938c9e6b86dbf12c57a,"['crash', 'function']",Risky_resource_management,{'crash': 100},
70ccc326362e2b14c6af92ed4d6d6e5877ef1c4b,"['crash', 'recursive', 'function']",Risky_resource_management,{'crash': 100},
2eead49c7f5e4a556c82ecdc2ef119cf87835904,"['crash', 'delimiters']",Risky_resource_management,{'crash': 100},
a9572e53f808240b9ec49d3ac8579cd6dab186b6,"['stack', 'overflow']",Risky_resource_management,{'stack overflow': 100},
27fc2c11a5d5cfe0288932b7fbe9e3adb16a2ac6,"['crash', 'local']",Risky_resource_management,{'crash': 100},
c75f71e4f42ce6cf63ec0e85b601564525058687,"['crash', 'error']",Risky_resource_management,{'crash': 100},
c8a81faaddb25f0996b9230e46cdc0603b1fffbc,"['crash', 'apostrophe']",Risky_resource_management,{'crash': 100},
368eaa067a5e3d041be7f624e379d159016b1da8,"['crash', 'slice']",Risky_resource_management,{'crash': 100},
1ad8421ddb19b45076f0d920ed0849e2ffd352ef,"['crash', 'freebsd']",Risky_resource_management,{'crash': 100},
32494aad0e5663cc5c11379950f107ee35a91854,"['crash', 'dyadic', 'munmap', 'patch']",Risky_resource_management,{'crash': 100},
a701d306485eb36577cf13959820e4f331bf5190,"['object', 'crash']",Risky_resource_management,{'crash': 100},
af71aff37aa8c14f7fcdb3e3c3ca61316e92a328,"['crash', 'regression']",Risky_resource_management,{'crash': 100},
680efcaa6330d7bae82e0f5131f80dada494e054,"['crash', 'boilerplate', 'suppress']",Risky_resource_management,{'crash': 100},
4aedd3931c764e92711bd605b9012369e03a59b9,"['crash', 'error', 'parenthetical', 'return', 'expression']",Risky_resource_management,{'crash': 100},
e8f006263fecd9839d2a49891c961ac69d8a525a,"['crash', 'reshape']",Risky_resource_management,{'crash': 100},
dc57995bedcf44d0ee581a5b416893186ac410c0,"['valence', 'dyadic', 'crash', 'adverb', 'project']",Risky_resource_management,{'crash': 100},
bbe8780e941979cac1a8d19fcc6787bef3f2687c,"['update', 'docker', 'registry', 'insecuresetup', 'docker', 'registry', 'insecuredocker', 'sysconfigregistry', 'blockcontainer', 'registry', 'image', 'insecure', 'registry', 'valuealreadydimitri', 'dsavinea']",General,{'insecure': 100},
344c8ca6bc69ff8193339fe4e3b074ee11579f0f,"['confd', 'crash']",Risky_resource_management,{'crash': 100},
