sha,message,catetory,matched,labels
7a0dc24ee113fc66dfa7bde1a80de70662938c6e,"['layout', 'crash', 'setimage', 'forstate', 'qmuibutton']",Risky_resource_management,{'crash': 100},
e104a18dd429c9b1b803040953de664c8b968772,"['mergerequest', 'passerbyloo', 'master', 'mergetableview', 'cache', 'crash', 'indexpath', 'height', 'delete']",Risky_resource_management,{'crash': 100},
e0f5887cae095bc69924fc50eb22276d7ca5babe,"['uiview', 'convertrect', 'crash', 'fromview']",Risky_resource_management,{'crash': 100},
