message,fuzzy
"['resource', 'whitelist', 'firebase', 'requiredproject', 'launch', 'crash', 'everyintegration', 'firebase']",{'crash': 100}
"['clickable', 'issue', 'readme']",{'issue': 100}
"['buffer', 'increase', 'plugin', 'string']",{'buffer': 100}
"['buffer', 'increase']",{'buffer': 100}
"['issue', 'readme']",{'issue': 100}
"['issue', 'gradle']",{'issue': 100}
"['crash', 'issue', 'gradle', 'flavor']","{'crash': 100, 'issue': 100}"
"['cccba', 'mergeeurstein', 'master', 'requestcrash', 'issue']",{'issue': 100}
"['empty', 'crash']",{'crash': 100}
"['crash', 'upload', 'fabric']",{'crash': 100}
