sha,message,catetory,matched
4846f2c402345ca1fbe47baffa505567eff88dad,"['register', 'crash']",General,{'crash': 100}
b5b035145de90e0257b122a8cb593de17376ac90,"['sentry', 'action', 'enable', 'macos', 'github', 'crash', 'support']",General,{'crash': 100}
c67f4da04d23502560a455efd3cda9248522b5ca,"['sentry', 'provider', 'optional', 'crash', 'support']",General,{'crash': 100}
757db8dc266eeddbe1a47f36d0610d93070ae5df,"['popstate', 'crash']",General,{'crash': 100}
2cf897386a0a3e7d3ad59a2c6440dbb06509474b,"['crash', 'debug']",General,{'crash': 100}
a087a36134a2f8dc97e86aa73b36f2a679d51f46,"['scrollbarwidget', 'crash', 'scrollablesize']",General,{'crash': 100}
3868eb9e60a474fa6623c002815e375e74f92b25,"['track', 'music', 'crash']",General,{'crash': 100}
e9f6cb2bdf750699a9cc703e9936533acdeaab11,"['crash', 'script', 'debugger']",General,{'crash': 100}
65f438def257f7d761d3d2c3580ecbd3238d6ede,"['challenge', 'crash']",General,{'crash': 100}
2733430e538ebf04e5d12b8535093c18722b422e,"['opengl', 'crash']",General,{'crash': 100}
86032b0bd98aeff9ea9a19f91646433fbc4f8e7b,"['process', 'configures', 'security', 'option']",General,{'security': 100}
244fd2cbcb12465866191dcc7203aca7719fab8c,"['crash', 'loadingclose']",General,{'crash': 100}
8df5237e29ca48076d72569374d4215e441f56c8,"['enable', 'wformat', 'security', 'cmake']",General,{'security': 100}
d8468e265aaf9fd48491d99f9cfeca3d0e12dc24,"['report', 'display', 'compiler', 'clang', 'crash']",General,{'crash': 100}
a43cbb6b30267aa74d1bdb93e24aaa8aa98551ab,"['warning', 'wformat', 'security']",General,{'security': 100}
6f9a69d3b723f296bf525fc48f2426994e31a1a5,"['function', 'ignore', 'request', 'reticuleresult', 'reticule', 'screenwould', 'crash', 'activeticket']",General,{'crash': 100}
