message,fuzzy
"['expose', 'invocation', 'trigger', 'close', 'lambdaexpose', 'invocation', 'trigger', 'close', 'lambdaderek', 'whynowy', 'signedexamplederek', 'whynowy']",{'expose': 100}
"['event', 'generate', 'crypto', 'tokenderek', 'whynowy']",{'crypto': 100}
"['repository', 'sensor', 'fetch', 'forcelocal', 'sensor', 'update', 'particular', 'deploy', 'force', 'fetch', 'issue', 'artifact', 'process']",{'issue': 100}
"['expose', 'native', 'field', 'eventbus', 'entire', 'affinityenable', 'priorityderek', 'whynowy']",{'expose': 100}
"['eventshub', 'azure', 'issue']",{'issue': 100}
"['template', 'label', 'chore', 'enable', 'issue']",{'issue': 100}
"['metadata', 'eventsources', 'sensor', 'expose']",{'expose': 100}
"['nodeselecotr', 'expose']",{'expose': 100}
"['permission', 'admin', 'aggregate', 'gateway', 'event', 'convenientanyone', 'interactaccomplish', 'appropriate', 'aggregatekubernetes', 'respective', 'clusterauthz', 'authn', 'reference', 'access', 'clusterrolesinstall', 'workflow', 'similar', 'cluster', 'aggregate', 'fcecacadbeaddcb', 'argoproj', 'controller', 'address', 'issue']","{'permission': 100, 'issue': 100}"
"['enable', 'providingsession', 'source', 'access', 'event', 'gateway', 'runningsession', 'permission', 'presentexample', 'source', 'appropriate', 'comment', 'event']",{'permission': 100}
"['workflowevery', 'workflow', 'modulodetail', 'argoproj', 'issue']",{'issue': 100}
"['template', 'update', 'issue']",{'issue': 100}
