sha,message,catetory,matched
1047541c199cf408b1892b277297296895acd4db,"['mappingunable', 'profile', 'pprof', 'mappingsymbolize', 'track', 'augmentingschema', 'insecure', 'vague', 'handlingsince']",General,{'insecure': 100}
696c91bc6dcd6c603a1685c5f623f5ca0ddafc06,"['insecure', 'symbolization', 'schemeinsecure', 'symbolization']",General,{'insecure': 100}
9637ff88da4390df86b71e44ac5960c8ae8a8579,"['symbolize', 'request', 'revert', 'google', 'insecuresymbolization', 'scheme', 'revert', 'insecure']",General,{'insecure': 100}
95a47d5ddc2cc5bc51a4248247452a85852ee966,"['symbolization', 'scheme', 'revert', 'insecure']",General,{'insecure': 100}
3fc456e086870fff7d6db5ec523a267094a2db95,"['insecure', 'symbolization']",General,{'insecure': 100}
9af60b2a7e1d1cddda67b3be8024adde49355a8d,"['issue', 'crash']",General,{'crash': 100}
67a17aedec6195f36997cb24431ae2a72f10a01b,"['login', 'constructor', 'crash']",General,{'crash': 100}
87f1147b741188f806c2a436a2d5791aaed568fb,"['navigate', 'notification', 'release', 'crash', 'issuenavigate', 'notification', 'release', 'crash', 'issuerelease', 'filter', 'refactorcancel']",General,{'crash': 100}
9acdc62f9bcfc8565ea7dad4842e67a50175fe11,"['chore', 'update', 'crash', 'device']",General,{'crash': 100}
fa70d90302cb738a09219a488897708663f9257b,"['params', 'navigation', 'crash', 'undefined', 'issue']",General,{'crash': 100}
4609e1f20c015e5a2945c130263af0ec66d43b71,"['undefined', 'potential', 'crash']",General,{'crash': 100}
ef2dd1d89caab3c14138cfd87e1b3e8a8cf87a91,"['stylable', 'crash']",General,{'crash': 100}
f471f044ecf60209da62be1a84d96e9979bcf93a,"['plist', 'insecure']",General,{'insecure': 100}
