message,fuzzy
"['modern', 'graphic', 'update', 'openssl', 'markdown']",{'OpenSSL': 100}
"['incorrect', 'volume', 'capability', 'usageentry', 'capability']",{'incorrect': 100}
"['mergedarrylhthomas', 'request', 'simplenote', 'mergedatabase', 'logic', 'pending', 'issue', 'simplenote', 'update']",{'issue': 100}
"['issue', 'simplenote', 'support']",{'issue': 100}
"['launch', 'database', 'setting', 'format', 'odbeditor', 'encryption', 'background']",{'encryption': 100}
"['table', 'buffer', 'setting', 'diskidindex', 'attmoddiskpairs', 'index', 'empty', 'diskuuid']",{'buffer': 100}
"['explicit', 'buffer', 'noteobject', 'initialization', 'decode', 'necessary', 'optional']",{'buffer': 100}
"['function', 'reorganization', 'finder', 'creation', 'fsevents', 'method', 'generation', 'statfs']",{'generation': 100}
"['crash', 'launch', 'pasteboard']",{'crash': 100}
"['update', 'message', 'encryption']",{'encryption': 100}
"['table', 'inset', 'editor', 'stakker', 'issue', 'suggestion', 'scrod', 'column', 'align', 'header']",{'issue': 100}
"['length', 'bfcccefbdeabd', 'panicsteve']",{'length': 100}
"['title', 'issue']",{'issue': 100}
"['rects', 'issue', 'delay', 'tiger']",{'issue': 100}
"['refactor', 'length', 'title']",{'length': 100}
"['nstablecolumn', 'pixel', 'width', 'generation', 'column', 'preview']",{'generation': 100}
"['launch', 'ensure', 'generation']",{'generation': 100}
"['dialog', 'password', 'label', 'security']",{'Security': 100}
"['flush', 'buffer', 'reading', 'verification']",{'buffer': 100}
"['potential', 'string', 'method', 'cache', 'crash']",{'crash': 100}
