sha,message,catetory,matched,labels
da4b993917be46c1580ed4807cd1e2de9838ab23,"['urijs', 'securityurijs', 'security', 'medialize', 'updatemedialize', 'releasemedialize', 'changelogcompare', 'commits', 'medializedependabot']",General,{'security': 100},
ec16fc58edcdf1b8dcae9ed1df8d800009968558,"['acorn', 'securityacornjs', 'acorn', 'security', 'updateacorn', 'acornjs', 'releasecompare', 'acornjs', 'commits', 'acorndependabot', 'dependabot', 'preview']",General,{'security': 100},
108b03122a37f529abeedda90478ea4465aff4ea,"['eslint', 'utils', 'securitymysticatea', 'utils', 'eslint', 'security', 'updateeslint', 'release', 'mysticatea', 'utilscompare', 'commits', 'mysticatea', 'utils', 'eslintdependabot', 'dependabot', 'preview']",General,{'security': 100},
c30945159a9e281b0e264011f80ccf5363af4805,"['mixin', 'securityjonschlinkert', 'security', 'mixin', 'updatemixin', 'release', 'jonschlinkertcompare', 'mixin', 'commits', 'jonschlinkertdependabot', 'dependabot', 'preview']",General,{'security': 100},
757a477f7556119f647a1a53d2039294861df39b,"['document', 'security']",General,{'security': 100},
7b1b1c47ad5be0f4e80d320a956cc8a5272c038c,"['static', 'security']",General,{'security': 100},
551dfd2616eb6d69823a714941c55eeefba6be07,"['handlebar', 'securitywycats', 'security', 'update', 'handlebarwycats', 'releaserelease', 'wycats', 'changelogcompare', 'commits', 'wycatsdependabot']",General,{'security': 100},
e54382ff383d6594b352f012b7e6f442cb22568e,"['windowissue', 'security', 'entry', 'windowdetail', 'fixme']",General,{'security': 100},
fd538a2c510536e0ce20b3de93f1b319c8dfadd7,"['relative', 'securityrelative', 'security', 'ashaffer', 'relative', 'release', 'cachedrelative', 'changelog', 'ashaffer', 'master', 'cachedashaffer', 'relative', 'commits', 'cacheddependabot']",General,{'security': 100},
86a1acbbab1d4ffdbc02bd204edb1986799b80f5,"['moderate', 'vulns', 'security']",General,{'security': 100},
864b6c34e6541f5e64a5d8516811a767b855984b,"['mergeelectron', 'crash', 'website', 'search', 'result']",Risky_resource_management,{'crash': 100},
90e6299f8ff72f7e07c2163575214e38a69b1bc8,"['mergebranch', 'crash', 'website']",Risky_resource_management,{'crash': 100},
