sha,message,catetory,matched
a85dbbd48bb65ab1ff417a6a886ee1893f8728c8,"['party', 'security', 'upgrade']",General,{'security': 100}
888d0e3a6016543f42ccb6aa610eae68e9211a53,"['test', 'travis', 'check', 'security', 'warning']",General,{'security': 100}
