sha,message,catetory,matched,labels
f902471a50b6107e8f5fee627ff9140c97659a49,"['mergecommits', 'developmentpodspec', 'versiontarget', 'swiftgif', 'frameworkprivate', 'funcs', 'enable', 'internalusageinstallation', 'section', 'improveupdate', 'examplerename', 'initializersswift', 'dispatchqueue', 'migrate', 'syntaxswift', 'migratepodspec', 'versiondeprecation', 'warning', 'frameworkformat', 'colon', 'changeforce', 'avoidedcocoapods', 'mentionstandard', 'crash', 'valuereadme', 'updatelicense', 'updatecontroller', 'storyboard', 'image']",Risky_resource_management,{'crash': 100},
e522319c5d01500386d0fb265ab4d14b21b9e898,"['master', 'mintakson', 'branchmintakson', 'masterpodspec', 'versiondeprecation', 'warning', 'frameworkstandard', 'crash', 'value']",Risky_resource_management,{'crash': 100},
55f0b7eb0ad808c3329f02d5f60c6c367f5d28f5,"['standard', 'crash', 'value']",Risky_resource_management,{'crash': 100},
0986a36a020a76b20535bf76b6744147e1c421da,"['mergebranch', 'release', 'mergereleasedevice', 'crash']",Risky_resource_management,{'crash': 100},
63953374e3d93e0816277c875cdd91b515d24600,"['device', 'crash']",Risky_resource_management,{'crash': 100},
cd0e79ccc58bb36b6f9c3e47a5c0cbf3324705bc,"['support', 'thumbnail', 'configurablesupport', 'thumbnail', 'thumbnail', 'crash']",Risky_resource_management,{'crash': 100},
717112c4d4a793c243b2c9d87f8daa68ba89e32e,"['crash', 'iterators', 'initializeiterators', 'delete', 'initialize', 'range', 'crashclose']",Risky_resource_management,{'crash': 100},
60100fdc6ddf8d111f75cc552642d888691ebb2a,"['dialog', 'crash', 'imageclose']",Risky_resource_management,{'crash': 100},
7e3fe614ed16908da23c5c104ee11312335c8996,"['dialog', 'crash', 'tonthat', 'qtonthat']",Risky_resource_management,{'crash': 100},
f7dc6432c911988ce02826cab6deb299f40e94f3,"['crash', 'checkbox']",Risky_resource_management,{'crash': 100},
31ed9c613d30f9769949db1e0cde7005fb992031,"['template', 'folder', 'critical', 'resource']",Risky_resource_management,{'critical resource': 100},
094e29e22ffdc86ce1f618005bdbd9d1321ffd63,"['template', 'strfcal', 'functionmerge', 'arithmic', 'patch', 'calculation', 'pluginsearch', 'error', 'robust', 'parsingquicknote', 'crash']",Risky_resource_management,{'crash': 100},
505a6cd92b07eadf5dcb76dfb6034ce65713f70e,"['shutdown', 'versioncontrol', 'crash', 'pluginerrorerrorincomplete', 'parsetree', 'errorindex', 'delete', 'error']",Risky_resource_management,{'crash': 100},
3f5f66cbf77562e3c31a04696c0dbb6a95f45192,"['cornercase', 'crash']",Risky_resource_management,{'crash': 100},
b32bf6fa00d2f28e4e3f5050d163e7371cad84ba,"['migration', 'readthedocs', 'hostedemail', 'project', 'subdomains', 'changestart', 'domain', 'subdomains', 'concern', 'project', 'security', 'cooky']",General,{'security': 100},
c6c1bb29bfa47c570d808774b7e658e376c42ed6,"['available', 'instruction', 'flushw', 'sparcscenario', 'segmentation', 'python', 'solaris', 'fault', 'crash', 'sparcwithout', 'python']",Risky_resource_management,{'crash': 100},
85f0ab3bc47f7b03e8a83e5c0c61083486ef85e1,"['crash', 'cross']",Risky_resource_management,{'crash': 100},
5ee9dda83d42c2a93f45e0d8d35621d993cf2d32,"['pointer', 'frame', 'fomit', 'crash']",Risky_resource_management,{'crash': 100},
09f82af08483b996ace819d7f375145ee5059596,"['crash', 'randomcrash', 'stack', 'leastvolatile', 'pointer']",Risky_resource_management,{'crash': 100},
6fd244f4dd273d89be408abb90dd641676b7dd67,"['window', 'stack', 'crashappears', 'crash', 'completelybuild', 'window', 'python', 'debug', 'reproducible']",Risky_resource_management,{'crash': 100},
377b51aa870c606ec22a73c394341451d1410db0,"['global', 'optimization', 'disablepython', 'prevents', 'crash']",Risky_resource_management,{'crash': 100},
