sha,message,catetory,matched,labels
7e0de9a9bcb5fbb30b9a9e5f82b2801a85ef4fd0,"['strange', 'record', 'historyeffect', 'undoable', 'interruptbutton', 'undoable', 'crashvertical', 'selection', 'keystroke', 'rulercommand', 'particular', 'crash']",Risky_resource_management,{'crash': 100},
126aec18242a514a2877522d532f93659af3ac65,"['upstream', 'update', 'portaudiophilburkupdate', 'linux', 'autoreconfchange', 'previousphilburksupport', 'compile', 'includecommit', 'reallydmitrykoscommit', 'previous', 'correction', 'wasapidmitrykosvalue', 'iaudioclient', 'default', 'device', 'error', 'period', 'getdeviceperiod', 'ignore', 'failure', 'workaround', 'report', 'wasapidmitrykosotherwise', 'option', 'support', 'effect', 'setting', 'struct', 'window', 'wasapirbencinaguideline', 'style', 'doxygen', 'reference', 'developer', 'update', 'implementationrbencinacheck', 'blacklist', 'mingw', 'issue', 'configure', 'rename', 'affectingrbencinadoxygen', 'native', 'channel', 'soundcard', 'output', 'format', 'conversion', 'number', 'adaption', 'linux', 'asbrinkphilburkscript', 'secondphilburkenable', 'keywords', 'propsetphilburkversion', 'experimentphilburkversion', 'numberingversionrbencinalength', 'buffer', 'compiler', 'exceeds', 'device', 'warning', 'potential', 'overflow', 'variable', 'declaration', 'double', 'compiler', 'possible', 'warning', 'conversion', 'getversionex', 'warning', 'instance', 'guids', 'symbol', 'static', 'removedrbencinaoperator', 'ticket', 'error', 'pasto', 'paindevelopment', 'coreaudiorobiwanwdmks', 'august', 'problem', 'patch', 'portaudio', 'lelandsbejayoharenpatch', 'device', 'olivierrbencinaspace', 'amountrbencinaoutput', 'patch', 'device', 'directsound', 'ticket', 'unicode', 'tobias', 'correctlyrbencinasection', 'space', 'convertedrbencinathanks', 'device', 'erichsen', 'ticket', 'tobias', 'convertrobiwancmake', 'folder', 'solution', 'wdmks', 'addedsupport', 'default', 'caveat', 'device', 'wdmks', 'scandeviceinfos', 'inputchannel', 'possibility', 'addedbejayoharenoperation', 'callback', 'safety', 'support', 'error', 'building', 'window', 'portaudio', 'tutorial', 'containedrbencinavisual', 'microsoft', 'building', 'window', 'portaudio', 'studio', 'improvement', 'clarity', 'tutorialphilburkeliminateinstall', 'sound', 'stereo', 'device', 'conversion', 'number', 'adaption', 'input', 'expression', 'sqweek', 'filter', 'audio', 'removinggineeravariable', 'capability', 'environment', 'additional', 'influence', 'device', 'rename', 'debug', 'revise']",Risky_resource_management,{'overflow': 100},
de68121d79222012f7dd35e2b14498dc97696ca1,"['displaybelieve', 'crash', 'reporttextual', 'display', 'plugins', 'usingexamplewould', 'crash', 'audacity', 'wageralways', 'audacity', 'probablyexcept', 'graphical']",Risky_resource_management,{'crash': 100},
