message,fuzzy
"['eaecb', 'mergeshader', 'attribute', 'jussikinnula', 'setup', 'buffer', 'requestshader', 'attribute', 'check', 'vertex']",{'buffer': 100}
"['issue', 'internalsystem', 'webgltexture', 'texture', 'loader']",{'issue': 100}
"['native', 'webglreact', 'issuereact', 'issuereact', 'issue']",{'issue': 100}
"['webpack', 'issue', 'loader', 'contrib']",{'issue': 100}
"['prism', 'switch', 'prismjs', 'issue']",{'issue': 100}
"['generate', 'travis', 'issue']",{'issue': 100}
"['hatchreact', 'issue']",{'issue': 100}
"['resilient', 'shader', 'cache', 'error', 'reactshader', 'crash', 'glsledit', 'keystroke', 'wrongstill', 'shader', 'objectshader', 'surface', 'cache', 'assumption', 'wrongshader', 'objectexample', 'shader', 'issue', 'glsledit']","{'crash': 100, 'issue': 100}"
"['issue', 'implementation']",{'issue': 100}
"['available', 'disposestackgl', 'issue', 'facebook', 'workaround', 'headless']",{'issue': 100}
