url,state,title,label,comments_url,diff_url,patch_url
https://api.github.com/repos/primus/primus/issues/121,open,A Spark is not a Readable Stream,feature,https://api.github.com/repos/primus/primus/issues/121/comments, , 
https://api.github.com/repos/primus/primus/issues/759,closed,Update nanoid to the latest version 🚀,greenkeeper,https://api.github.com/repos/primus/primus/issues/759/comments,https://github.com/primus/primus/pull/759.diff,https://github.com/primus/primus/pull/759.patch
https://api.github.com/repos/primus/primus/issues/715,closed,authenticate: error used to deny auth crashes server, ,https://api.github.com/repos/primus/primus/issues/715/comments, , 
https://api.github.com/repos/primus/primus/issues/691,closed,401 on UPGRADE request doesn't send headers, ,https://api.github.com/repos/primus/primus/issues/691/comments, , 
https://api.github.com/repos/primus/primus/issues/678,closed,primus.d.ts needs to be removed from the package.json, ,https://api.github.com/repos/primus/primus/issues/678/comments, , 
https://api.github.com/repos/primus/primus/issues/642,closed,chore(package): update mocha to version 5.0.4, ,https://api.github.com/repos/primus/primus/issues/642/comments,https://github.com/primus/primus/pull/642.diff,https://github.com/primus/primus/pull/642.patch
https://api.github.com/repos/primus/primus/issues/640,closed,Update request to the latest version 🚀,greenkeeper,https://api.github.com/repos/primus/primus/issues/640/comments,https://github.com/primus/primus/pull/640.diff,https://github.com/primus/primus/pull/640.patch
https://api.github.com/repos/primus/primus/issues/655,closed,[minor] Pass options.compression verbatim to uws, ,https://api.github.com/repos/primus/primus/issues/655/comments,https://github.com/primus/primus/pull/655.diff,https://github.com/primus/primus/pull/655.patch
https://api.github.com/repos/primus/primus/issues/639,closed,Consider using a different id generator by default, ,https://api.github.com/repos/primus/primus/issues/639/comments, , 
https://api.github.com/repos/primus/primus/issues/588,closed,Add ability to modify the cache busting parameter, ,https://api.github.com/repos/primus/primus/issues/588/comments,https://github.com/primus/primus/pull/588.diff,https://github.com/primus/primus/pull/588.patch
https://api.github.com/repos/primus/primus/issues/509,closed,Update engine.io-client to the latest version 🚀,greenkeeper,https://api.github.com/repos/primus/primus/issues/509/comments,https://github.com/primus/primus/pull/509.diff,https://github.com/primus/primus/pull/509.patch
https://api.github.com/repos/primus/primus/issues/508,closed,Update engine.io to the latest version 🚀,greenkeeper,https://api.github.com/repos/primus/primus/issues/508/comments,https://github.com/primus/primus/pull/508.diff,https://github.com/primus/primus/pull/508.patch
https://api.github.com/repos/primus/primus/issues/567,closed,Update browserify to the latest version 🚀,greenkeeper,https://api.github.com/repos/primus/primus/issues/567/comments,https://github.com/primus/primus/pull/567.diff,https://github.com/primus/primus/pull/567.patch
https://api.github.com/repos/primus/primus/issues/537,closed,updated primus.d.ts, ,https://api.github.com/repos/primus/primus/issues/537/comments,https://github.com/primus/primus/pull/537.diff,https://github.com/primus/primus/pull/537.patch
https://api.github.com/repos/primus/primus/issues/530,closed,uws: Cannot read property 'fd' of null, ,https://api.github.com/repos/primus/primus/issues/530/comments, , 
https://api.github.com/repos/primus/primus/issues/529,closed,Update ultron to the latest version 🚀,greenkeeper,https://api.github.com/repos/primus/primus/issues/529/comments,https://github.com/primus/primus/pull/529.diff,https://github.com/primus/primus/pull/529.patch
https://api.github.com/repos/primus/primus/issues/527,closed,Update browserify to the latest version 🚀,greenkeeper,https://api.github.com/repos/primus/primus/issues/527/comments,https://github.com/primus/primus/pull/527.diff,https://github.com/primus/primus/pull/527.patch
https://api.github.com/repos/primus/primus/issues/519,closed,Uncaught Error: Cannot find module '_process',investigate,https://api.github.com/repos/primus/primus/issues/519/comments, , 
https://api.github.com/repos/primus/primus/issues/517,closed,Update pre-commit to the latest version 🚀,greenkeeper,https://api.github.com/repos/primus/primus/issues/517/comments,https://github.com/primus/primus/pull/517.diff,https://github.com/primus/primus/pull/517.patch
https://api.github.com/repos/primus/primus/issues/477,closed,Introduce the `maxLength` option, ,https://api.github.com/repos/primus/primus/issues/477/comments,https://github.com/primus/primus/pull/477.diff,https://github.com/primus/primus/pull/477.patch
https://api.github.com/repos/primus/primus/issues/481,closed,Add msgpack parser, ,https://api.github.com/repos/primus/primus/issues/481/comments,https://github.com/primus/primus/pull/481.diff,https://github.com/primus/primus/pull/481.patch
