url,state,title,label,comments_url,diff_url,patch_url
https://api.github.com/repos/dotnet/dotnet-docker/issues/2176,closed,[master] Update common Docker engineering infrastructure with latest, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/2176/comments,https://github.com/dotnet/dotnet-docker/pull/2176.diff,https://github.com/dotnet/dotnet-docker/pull/2176.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/2123,closed,Merging Dockerfile templates feature work from nightly to master, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/2123/comments,https://github.com/dotnet/dotnet-docker/pull/2123.diff,https://github.com/dotnet/dotnet-docker/pull/2123.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1647,closed,Merge infrastructure changes from nightly to master, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1647/comments,https://github.com/dotnet/dotnet-docker/pull/1647.diff,https://github.com/dotnet/dotnet-docker/pull/1647.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1640,closed,Remove Dockerfiles for Alpine 3.9, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1640/comments,https://github.com/dotnet/dotnet-docker/pull/1640.diff,https://github.com/dotnet/dotnet-docker/pull/1640.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1632,closed,Remove Ubuntu Disco Dockerfiles (#1615), ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1632/comments,https://github.com/dotnet/dotnet-docker/pull/1632.diff,https://github.com/dotnet/dotnet-docker/pull/1632.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1629,closed,Ensure sample tag generation works in nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1629/comments,https://github.com/dotnet/dotnet-docker/pull/1629.diff,https://github.com/dotnet/dotnet-docker/pull/1629.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1466,closed,Remove Dockerfiles for Windows Server 1803, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1466/comments,https://github.com/dotnet/dotnet-docker/pull/1466.diff,https://github.com/dotnet/dotnet-docker/pull/1466.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1353,closed,Remove obsolete version-monitor build definition, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1353/comments,https://github.com/dotnet/dotnet-docker/pull/1353.diff,https://github.com/dotnet/dotnet-docker/pull/1353.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1354,closed,Adjust timeout for Windows arm build leg, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1354/comments,https://github.com/dotnet/dotnet-docker/pull/1354.diff,https://github.com/dotnet/dotnet-docker/pull/1354.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1344,closed,Update common Docker engineering infrastructure with latest, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1344/comments,https://github.com/dotnet/dotnet-docker/pull/1344.diff,https://github.com/dotnet/dotnet-docker/pull/1344.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1202,closed,Add guiding principles doc, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1202/comments,https://github.com/dotnet/dotnet-docker/pull/1202.diff,https://github.com/dotnet/dotnet-docker/pull/1202.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1157,closed,Merge infrastructure changes from nightly to master, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1157/comments,https://github.com/dotnet/dotnet-docker/pull/1157.diff,https://github.com/dotnet/dotnet-docker/pull/1157.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1129,closed,"Add support for Window Server, version 1903", ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1129/comments,https://github.com/dotnet/dotnet-docker/pull/1129.diff,https://github.com/dotnet/dotnet-docker/pull/1129.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1019,closed,Prepare and release Windows Server 19H1 images,enhancement,https://api.github.com/repos/dotnet/dotnet-docker/issues/1019/comments, , 
https://api.github.com/repos/dotnet/dotnet-docker/issues/1111,closed,Merge nightly branch into master, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1111/comments,https://github.com/dotnet/dotnet-docker/pull/1111.diff,https://github.com/dotnet/dotnet-docker/pull/1111.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1029,closed,Update SDK to 2.1.602 and 2.2.202, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1029/comments,https://github.com/dotnet/dotnet-docker/pull/1029.diff,https://github.com/dotnet/dotnet-docker/pull/1029.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1025,closed,Merge infrastructure changes from nightly to master, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1025/comments,https://github.com/dotnet/dotnet-docker/pull/1025.diff,https://github.com/dotnet/dotnet-docker/pull/1025.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1016,closed,Merge changes from nightly into master, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1016/comments,https://github.com/dotnet/dotnet-docker/pull/1016.diff,https://github.com/dotnet/dotnet-docker/pull/1016.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/1012,closed,Link broken aspnetcore-docker-arm32.md, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1012/comments, , 
https://api.github.com/repos/dotnet/dotnet-docker/issues/1000,closed,Merge nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/1000/comments,https://github.com/dotnet/dotnet-docker/pull/1000.diff,https://github.com/dotnet/dotnet-docker/pull/1000.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/980,closed,March updates, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/980/comments,https://github.com/dotnet/dotnet-docker/pull/980.diff,https://github.com/dotnet/dotnet-docker/pull/980.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/884,closed,Update to 2.1.7 and 2.2.1, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/884/comments,https://github.com/dotnet/dotnet-docker/pull/884.diff,https://github.com/dotnet/dotnet-docker/pull/884.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/874,closed,Merging changes from nightly branch, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/874/comments,https://github.com/dotnet/dotnet-docker/pull/874.diff,https://github.com/dotnet/dotnet-docker/pull/874.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/730,closed,"Revert ""Add support for Windows Server 2019 (#719)""", ,https://api.github.com/repos/dotnet/dotnet-docker/issues/730/comments,https://github.com/dotnet/dotnet-docker/pull/730.diff,https://github.com/dotnet/dotnet-docker/pull/730.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/727,closed,Merge build-infra changes from nightly to master, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/727/comments,https://github.com/dotnet/dotnet-docker/pull/727.diff,https://github.com/dotnet/dotnet-docker/pull/727.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/682,closed,Merge infrastructure changes from nightly to master, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/682/comments,https://github.com/dotnet/dotnet-docker/pull/682.diff,https://github.com/dotnet/dotnet-docker/pull/682.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/602,closed,Updates for 2.1.1 release, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/602/comments,https://github.com/dotnet/dotnet-docker/pull/602.diff,https://github.com/dotnet/dotnet-docker/pull/602.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/601,closed,Merge build infrastructure changes from nightly into master, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/601/comments,https://github.com/dotnet/dotnet-docker/pull/601.diff,https://github.com/dotnet/dotnet-docker/pull/601.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/558,closed,Merge 2.1 RTM changes from nightly to master, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/558/comments,https://github.com/dotnet/dotnet-docker/pull/558.diff,https://github.com/dotnet/dotnet-docker/pull/558.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/550,closed,Merge changes from master into nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/550/comments,https://github.com/dotnet/dotnet-docker/pull/550.diff,https://github.com/dotnet/dotnet-docker/pull/550.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/532,closed,Merge master into nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/532/comments,https://github.com/dotnet/dotnet-docker/pull/532.diff,https://github.com/dotnet/dotnet-docker/pull/532.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/526,closed,Merge master into nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/526/comments,https://github.com/dotnet/dotnet-docker/pull/526.diff,https://github.com/dotnet/dotnet-docker/pull/526.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/523,closed,Merge master to nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/523/comments,https://github.com/dotnet/dotnet-docker/pull/523.diff,https://github.com/dotnet/dotnet-docker/pull/523.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/521,closed,Merging RC1 changes from nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/521/comments,https://github.com/dotnet/dotnet-docker/pull/521.diff,https://github.com/dotnet/dotnet-docker/pull/521.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/492,closed,Merge changes from master into nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/492/comments,https://github.com/dotnet/dotnet-docker/pull/492.diff,https://github.com/dotnet/dotnet-docker/pull/492.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/484,closed,April Update - 1.0.11 + 1.1.8 + 2.0.7, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/484/comments,https://github.com/dotnet/dotnet-docker/pull/484.diff,https://github.com/dotnet/dotnet-docker/pull/484.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/477,closed,Merge master into nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/477/comments,https://github.com/dotnet/dotnet-docker/pull/477.diff,https://github.com/dotnet/dotnet-docker/pull/477.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/473,closed,Merge 2.1 preview 2 changes from nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/473/comments,https://github.com/dotnet/dotnet-docker/pull/473.diff,https://github.com/dotnet/dotnet-docker/pull/473.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/471,closed,Merge `master` into `nightly`, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/471/comments,https://github.com/dotnet/dotnet-docker/pull/471.diff,https://github.com/dotnet/dotnet-docker/pull/471.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/453,closed,Merge changes from master into nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/453/comments,https://github.com/dotnet/dotnet-docker/pull/453.diff,https://github.com/dotnet/dotnet-docker/pull/453.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/437,closed,Instructions in the samples for running an ASP.NET app are not optimal, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/437/comments, , 
https://api.github.com/repos/dotnet/dotnet-docker/issues/423,closed, Updates for the March service event, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/423/comments,https://github.com/dotnet/dotnet-docker/pull/423.diff,https://github.com/dotnet/dotnet-docker/pull/423.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/419,closed,Merge master into nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/419/comments,https://github.com/dotnet/dotnet-docker/pull/419.diff,https://github.com/dotnet/dotnet-docker/pull/419.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/418,closed,Update bionic images to include libcurl4, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/418/comments,https://github.com/dotnet/dotnet-docker/pull/418.diff,https://github.com/dotnet/dotnet-docker/pull/418.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/414,closed,Merge master to nightly, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/414/comments,https://github.com/dotnet/dotnet-docker/pull/414.diff,https://github.com/dotnet/dotnet-docker/pull/414.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/356,closed,[Port] CI for 1709, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/356/comments,https://github.com/dotnet/dotnet-docker/pull/356.diff,https://github.com/dotnet/dotnet-docker/pull/356.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/346,closed,Porting changes from nightly repo for SDK 1.1.6 release, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/346/comments,https://github.com/dotnet/dotnet-docker/pull/346.diff,https://github.com/dotnet/dotnet-docker/pull/346.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/345,closed,Update 1.1 SDK images to use 1.1.6, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/345/comments, , 
https://api.github.com/repos/dotnet/dotnet-docker/issues/333,closed,Test with a 'portable' rid where supported,bug,https://api.github.com/repos/dotnet/dotnet-docker/issues/333/comments, , 
https://api.github.com/repos/dotnet/dotnet-docker/issues/58,closed,Dockerfile should trigger the building of the local package cache.,enhancement,https://api.github.com/repos/dotnet/dotnet-docker/issues/58/comments, , 
https://api.github.com/repos/dotnet/dotnet-docker/issues/491,closed,microsoft/dotnet:2.1-runtime do not open appsettings.json file, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/491/comments, , 
https://api.github.com/repos/dotnet/dotnet-docker/issues/324,closed,Add <major>-<minor> non-manifest tags, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/324/comments,https://github.com/dotnet/dotnet-docker/pull/324.diff,https://github.com/dotnet/dotnet-docker/pull/324.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/301,closed,Switch to image that contains Docker 17.06.1-ee-2., ,https://api.github.com/repos/dotnet/dotnet-docker/issues/301/comments,https://github.com/dotnet/dotnet-docker/pull/301.diff,https://github.com/dotnet/dotnet-docker/pull/301.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/129,closed,Removed Windows Server Core Dockerfiles, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/129/comments,https://github.com/dotnet/dotnet-docker/pull/129.diff,https://github.com/dotnet/dotnet-docker/pull/129.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/124,closed,remove bonus whitespace, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/124/comments,https://github.com/dotnet/dotnet-docker/pull/124.diff,https://github.com/dotnet/dotnet-docker/pull/124.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/123,closed,Modified Nano Dockerfiles to make use of new Invoke-WebRequest support, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/123/comments,https://github.com/dotnet/dotnet-docker/pull/123.diff,https://github.com/dotnet/dotnet-docker/pull/123.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/122,closed,Update to windows 10.0.14393.206, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/122/comments,https://github.com/dotnet/dotnet-docker/pull/122.diff,https://github.com/dotnet/dotnet-docker/pull/122.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/118,closed,Add CI for core-deps images, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/118/comments,https://github.com/dotnet/dotnet-docker/pull/118.diff,https://github.com/dotnet/dotnet-docker/pull/118.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/115,closed,Add Jenkins CI and automated tests , ,https://api.github.com/repos/dotnet/dotnet-docker/issues/115/comments,https://github.com/dotnet/dotnet-docker/pull/115.diff,https://github.com/dotnet/dotnet-docker/pull/115.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/116,closed,Fix broken README links, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/116/comments,https://github.com/dotnet/dotnet-docker/pull/116.diff,https://github.com/dotnet/dotnet-docker/pull/116.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/113,closed,Add link to Docker images doc, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/113/comments,https://github.com/dotnet/dotnet-docker/pull/113.diff,https://github.com/dotnet/dotnet-docker/pull/113.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/107,closed,Removing obsolete 1.0.0-preview1 and 1.0.0-rc2 source, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/107/comments,https://github.com/dotnet/dotnet-docker/pull/107.diff,https://github.com/dotnet/dotnet-docker/pull/107.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/106,closed,Removed obsolete alpha artifacts, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/106/comments,https://github.com/dotnet/dotnet-docker/pull/106.diff,https://github.com/dotnet/dotnet-docker/pull/106.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/104,closed,Updated .NET Core to 1.0.1 and SDK to 1.0.0-preview2-003131, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/104/comments,https://github.com/dotnet/dotnet-docker/pull/104.diff,https://github.com/dotnet/dotnet-docker/pull/104.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/105,closed,Removed alpha and preview1/rc2 images from the readme, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/105/comments,https://github.com/dotnet/dotnet-docker/pull/105.diff,https://github.com/dotnet/dotnet-docker/pull/105.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/103,closed,Add tags for major and minor version numbers, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/103/comments,https://github.com/dotnet/dotnet-docker/pull/103.diff,https://github.com/dotnet/dotnet-docker/pull/103.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/102,closed,"Added logic to push 1.0-core-deps, 1-core-deps, 1.0-core and 1-core tags", ,https://api.github.com/repos/dotnet/dotnet-docker/issues/102/comments,https://github.com/dotnet/dotnet-docker/pull/102.diff,https://github.com/dotnet/dotnet-docker/pull/102.patch
https://api.github.com/repos/dotnet/dotnet-docker/issues/94,closed,Updated Windows images to be based on specific OS image from Docker Hub, ,https://api.github.com/repos/dotnet/dotnet-docker/issues/94/comments,https://github.com/dotnet/dotnet-docker/pull/94.diff,https://github.com/dotnet/dotnet-docker/pull/94.patch
