Id,Url,Langs,ApiType,RemNum,IibcNum,PdNum,GenNum,VulNum
1446467,https://api.github.com/repos/pypa/pip,"['html', 'python']",FFI,0,0,0,1,1
3277466,https://api.github.com/repos/benkeen/generatedata,"['java', 'javascript']",IMI_EBD,0,0,0,0,0
2562873,https://api.github.com/repos/sleuthkit/sleuthkit,"['c', 'c++', 'shell']",FFI_IMI,17,0,0,0,17
12799539,https://api.github.com/repos/pytoolz/toolz,"['python', 'shell']",IMI,2,0,0,1,3
2360755,https://api.github.com/repos/wp-cli/wp-cli,[],IMI,0,0,0,7,7
14649399,https://api.github.com/repos/mfontanini/libtins,[],FFI,5,0,0,0,5
39237460,https://api.github.com/repos/hygieia/hygieia,"['java', 'shell']",FFI_IMI,3,0,0,11,14
810796,https://api.github.com/repos/sferik/rails_admin,"['java', 'javascript']",IMI_EBD,1,1,0,1,3
31089461,https://api.github.com/repos/Azure/autorest,"['c', 'python']",IMI_EBD,1,0,0,8,9
31315021,https://api.github.com/repos/Kinto/kinto,"['html', 'python']",IMI_EBD,0,0,0,10,10
1856976,https://api.github.com/repos/libevent/libevent,"['python', 'shell']",FFI_IMI,11,0,0,2,13
50209125,https://api.github.com/repos/klausw/hackerskeyboard,"['c', 'c++', 'shell']",FFI_IMI,1,0,0,6,7
56271158,https://api.github.com/repos/graphile/postgraphile,"['css', 'html', 'javascript', 'shell']",IMI_EBD,0,0,1,1,2
5289,https://api.github.com/repos/bborn/communityengine,"['java', 'javascript']",IMI_EBD,0,0,0,1,1
45547,https://api.github.com/repos/jquery/sizzle,"['java', 'javascript']",IMI_EBD,0,0,0,4,4
2835111,https://api.github.com/repos/pyinstaller/pyinstaller,"['python', 'shell']",FFI_IMI,1,0,0,5,6
4994614,https://api.github.com/repos/wpscanteam/wpscan,[],IMI,0,0,0,3,3
417389,https://api.github.com/repos/lostisland/faraday,[],IMI,0,0,0,0,0
30027163,https://api.github.com/repos/webrtcHacks/adapter,"['java', 'javascript']",EBD,0,0,0,4,4
15120676,https://api.github.com/repos/libusb/libusb,"['c', 'c++', 'shell']",FFI_IMI,12,0,0,9,21
32012345,https://api.github.com/repos/AdguardTeam/AdguardBrowserExtension,"['html', 'python']",IMI_EBD,0,0,0,2,2
23690226,https://api.github.com/repos/OpenXRay/xray-16,"['c', 'c++', 'shell']",FFI_IMI,4,0,0,7,11
32873163,https://api.github.com/repos/ermig1979/Simd,"['c', 'c++', 'shell']",FFI_IMI,1,0,0,7,8
12895187,https://api.github.com/repos/laravelio/laravel.io,"['java', 'shell']",IMI,0,1,0,2,3
1885237,https://api.github.com/repos/statsmodels/statsmodels,"['python', 'shell']",IMI,0,0,0,0,0
1217404,https://api.github.com/repos/jordansissel/fpm,"['python', 'shell']",IMI,0,0,0,1,1
7675929,https://api.github.com/repos/sddm/sddm,"['c', 'c++', 'shell']",HIT,2,0,1,9,12
85866753,https://api.github.com/repos/microsoft/reactxp,"['java', 'javascript']",FFI,0,0,0,9,9
2579069,https://api.github.com/repos/datopian/portal.js,"['java', 'shell']",IMI,0,0,0,0,0
53171300,https://api.github.com/repos/tidwall/tile38,"['go', 'shell']",FFI,4,0,0,4,8
42372094,https://api.github.com/repos/bioconda/bioconda-recipes,"['python', 'shell']",IMI,0,0,0,0,0
