id,languages,classifier,clfType,fileType
156018,"['c', 'objective-c', 'ruby', 'shell', 'c++']",Java-C_HD*,HD_FFI,"['.java', '.c', '*']"
12256376,"['typescript', 'html', 'css', 'javascript', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
23357588,"['c++', 'java', 'objective-c', 'c', 'python', 'php', 'javascript', 'ruby', 'shell', 'go']",C++-Ruby_Java-C_HD*,HD_FFI,"['.mm', '.java', '.c', '*']"
65252,"['ruby', 'javascript', 'html', 'shell', 'css', 'php']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
24953448,"['css', 'html', 'javascript']",HD*,HD,['*']
612230,"['shell', 'javascript']",Shell*,ID,"['.sh', '.bsh', '.zsh']"
9185792,"['javascript', 'html', 'css']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
843222,"['python', 'c++', 'c', 'shell']",Python*_HD*,HD_ID,"['.py', '*']"
19872456,"['javascript', 'objective-c', 'css', 'html', 'python', 'java', 'shell']",Java-C_HD*_JavaScript*,ID_HD_FFI,"['.java', '.c', '.ts', '.js', '.html', '*']"
23974149,"['javascript', 'css', 'html']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
3100121,"['javascript', 'c++', 'python', 'html', 'objective-c', 'shell', 'c', 'css']",Python*_C++-Ruby_C++-JavaScript_JavaScript*,ID_FFI,"['.mm', '.cpp', '.cc', '.ts', '.js', '.html', '.py']"
529502,"['python', 'html', 'shell']",Python*_Shell*,ID,"['.py', '.sh', '.bsh', '.zsh']"
5152285,"['java', 'shell']",Java*_Shell*,ID,"['.sh', '.bsh', '.zsh', '.java']"
20300177,"['java', 'css', 'shell']",Java-C_Java*_Shell*,ID_FFI,"['.java', '.c', '.java', '.sh', '.bsh', '.zsh']"
24560307,"['javascript', 'typescript', 'shell', 'html']",Shell*_HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '*']"
3065454,"['javascript', 'html', 'css']",HD*,HD,['*']
16408992,"['c', 'python', 'shell', 'css', 'html', 'ruby']",Python*_Java-C_Shell*,ID_FFI,"['.java', '.c', '.sh', '.bsh', '.zsh', '.py']"
892275,"['java', 'html', 'css', 'shell']",HD*_Java*,HD_ID,"['.java', '*']"
5271882,"['go', 'shell', 'python']",HD*_Shell*,HD_ID,"['.sh', '.bsh', '.zsh', '*']"
15111821,"['typescript', 'go', 'html', 'css', 'shell', 'javascript', 'python', 'php']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
