repo_id,combo,combo_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
23961941,css_html_javascript_python_shell,1,23947,9,3474,3420,70,16,16,0,0,0
525316,html_python_shell,0,1268,3,4164,2062,186,14,1,0,0,13
112892985,javascript_shell_typescript,0,57189,14,2712,3258,95,12,9,0,0,3
58655757,ruby_shell,0,1206,4,1745,1198,97,6,3,0,0,3
1139119,c_cpp_shell,0,3685,5,5228,1786,192,5,4,0,0,1
55873922,javascript_typescript,0,339,2,4996,1022,103,1,1,0,0,0
17488986,html_java,1,110982,5,4557,3190,96,29,28,0,0,1
11321096,css_html_javascript_python_shell,1,39005,6,2932,7287,299,5,4,0,0,1
5238231,css_html_javascript_python_shell,1,321971,10,3204,5085,234,8,0,0,0,8
571621,c_cpp_shell,0,180378,6,4705,7108,223,24,22,0,0,2
541109,c_cpp,0,73848,11,7470,16318,175,140,140,0,0,0
62728051,go_shell,0,177519,5,2959,2713,156,7,0,0,0,7
61886109,css_html_javascript_shell,0,476727,5,1855,5530,1137,6,2,0,0,4
129958568,css_html_javascript_shell,0,9824,7,2449,4150,79,3,3,0,0,0
2623406,css_html_java_javascript,0,10617,8,4454,2305,67,5,4,0,0,1
84977146,python_shell,0,3050,4,2506,3963,232,10,2,0,0,8
12399790,c#_shell,0,34272,6,2888,4394,317,4,4,0,0,0
32698469,c_cpp_python,0,72529,15,3900,3344,90,21,21,0,0,0
14579179,css_javascript,0,104864,3,2793,4133,66,2,2,0,0,0
24109199,python_shell,0,42670,5,2884,15071,618,45,1,0,0,44
1095228,css_javascript_php,0,40817,5,3898,9935,915,37,11,0,0,26
2500559,javascript_php,0,27764,6,3562,2216,195,5,4,0,0,1
129366435,python_shell,0,97226,3,3362,4136,127,5,2,0,0,3
662115,css_html_javascript_python,1,3302,5,6104,1592,141,4,4,0,0,0
33655518,javascript_python,1,7776,4,5858,2538,169,13,9,0,0,4
93163073,javascript_ruby,0,84219,9,2829,13434,236,36,0,0,0,36
94246344,c_cpp,0,33030,6,1808,2213,72,2,2,0,0,0
58774373,python_shell,0,18356,3,3955,9823,213,6,5,0,0,1
250052,css_html_javascript_python,1,7992,5,4619,3430,106,1,1,0,0,0
6111297,c_cpp,0,86243,15,3207,3751,107,9,8,0,0,1
49213884,html_javascript_python_shell,1,93623,5,3258,20480,330,102,61,0,0,41
79160357,c_cpp,0,265792,19,4111,8382,389,208,196,1,0,11
16323162,go_shell,0,65393,5,3933,1979,150,4,1,0,0,3
5207280,html_javascript_python,1,31967,13,4235,6719,274,17,14,0,0,3
56218983,c_cpp,0,297240,5,3089,2075,32,2,2,0,0,0
32792088,javascript_php,0,19481,5,3616,20480,480,164,142,0,0,22
3291848,java_shell,0,62959,2,3463,3175,201,33,0,0,0,33
47931290,ruby_shell,0,8354,4,2049,1859,103,25,25,0,0,0
5150693,python_shell,0,7531,5,3877,12460,231,14,8,0,1,5
50483854,c_cpp,0,6650,4,2663,1315,72,1,1,0,0,0
20723540,html_ruby,0,375,2,2576,1030,113,1,0,0,0,1
5050525,c_cpp_python_shell,0,55065,10,7520,11803,197,23,23,0,0,0
258750,html_javascript_ruby,0,125776,9,4393,13349,604,28,14,0,1,13
4477733,python_shell,0,1489,2,3055,1006,124,1,1,0,0,0
2586317,css_javascript,0,12292,3,3569,5115,1104,1,0,0,0,1
77645747,c_cpp,0,6203,4,3031,1669,112,4,4,0,0,0
6668632,go_shell,0,14966,3,3149,1170,76,6,6,0,0,0
8976707,html_javascript_typescript,0,404,3,3032,1962,36,8,7,0,0,1
14021219,c_shell,0,440,6,1472,2695,151,23,23,0,0,0
28312955,css_html_javascript_ruby,0,397078,6,2409,20480,4055,26,7,0,0,19
9278888,java_shell,0,19216,2,2881,1905,140,1,1,0,0,0
35363625,css_html_javascript_python_shell,1,3008,7,2439,1270,70,2,2,0,0,0
4127088,css_html_javascript_python_shell,1,334179,10,6010,10469,433,24,5,0,1,18
23050110,java_shell,0,26929,2,2515,4745,60,3,2,0,0,1
41743300,css_html_javascript_shell_typescript,0,8238,5,4766,8488,172,51,35,0,0,16
13692183,c#_shell,0,37651,6,4389,8047,411,21,17,0,0,4
1341741,html_python,0,20624,7,3791,5234,59,4,3,0,0,1
944926,java_javascript,0,23714,5,3946,4605,226,10,6,1,0,3
14731610,html_ruby,0,2929,3,4901,5251,223,5,3,1,0,1
112953694,css_html_javascript_python_shell,1,44773,8,1931,4012,92,8,8,0,0,0
34685800,html_java_javascript,0,10887,10,2683,3674,231,2,1,0,0,1
12902206,c_python_shell,0,8899,3,6909,1647,111,2,1,0,0,1
33744138,css_html_javascript_python_shell,1,646859,7,2985,4660,295,1,0,0,0,1
33225130,css_html_javascript_ruby,0,90730,7,3095,4548,151,16,0,0,1,15
20415251,java_shell,0,7492,3,2922,2056,254,1,0,0,0,1
69530328,html_javascript_shell_typescript,0,9060,6,2419,1486,142,1,1,0,0,0
2594513,css_html_javascript,0,7710,6,3563,6009,169,1,0,0,0,1
2731301,html_javascript_ruby,0,157241,9,3069,20162,134,40,6,0,0,34
45863965,c_cpp,0,3947,8,3987,20480,805,142,103,0,0,39
20171642,java_shell,0,7733,5,5013,5116,170,34,25,0,0,9
109525439,html_javascript,1,7097,2,2579,1923,249,1,0,0,0,1
5410234,c_python_shell,0,52947,9,4719,12127,230,51,48,0,0,3
976103,javascript_ruby,0,198,2,3889,1148,56,6,4,0,0,2
9454675,c_cpp,0,3073782,32,3864,20480,611,591,548,0,9,34
10120864,java_javascript,0,17716,9,4303,2156,197,5,5,0,0,0
117119718,c_cpp_shell,0,36286,9,2699,4529,28,29,29,0,0,0
39182755,css_javascript_php,0,584524,7,5198,20078,170,40,4,0,0,36
18411972,c_python_shell,0,656577,14,3243,20480,516,36,27,1,0,8
8043756,cpp_python,0,307216,6,3581,15497,168,3,3,0,0,0
20232658,css_html_javascript_python_shell,1,9909,6,2588,3674,99,2,2,0,0,0
45425758,javascript_typescript,0,38290,2,3388,2272,83,1,0,0,0,1
21046980,css_html_javascript,0,7569,3,3772,2775,268,89,0,0,0,89
2711539,c_python_shell,0,1215,6,5740,1275,85,2,2,0,0,0
75165297,java_javascript,0,32092,10,1602,2568,35,1,0,0,0,1
2317369,css_html_javascript_python,1,999796,10,1134,20000,605,31,18,0,0,13
95121376,javascript_shell,0,10249,3,3685,8939,416,7,6,0,0,1
7528679,c#_shell,0,110848,4,3362,8379,266,4,3,0,0,1
10105419,javascript_typescript,0,7511,2,2952,1093,34,7,0,0,0,7
36903690,c_python_shell,0,364793,4,4907,1621,163,3,3,0,0,0
6365343,cpp_python,0,186078,12,3046,20000,147,48,47,0,0,1
21763603,css_javascript_typescript,0,457452,7,2569,3679,132,24,24,0,0,0
3250434,java_shell,0,21326,2,5270,5161,125,2,2,0,0,0
54517947,c_cpp_python,0,29570,9,1693,9779,176,63,63,0,0,0
24182261,c_cpp_shell,0,28018,7,2408,1894,25,1,1,0,0,0
37350472,c_python,0,41540,10,2250,10706,342,76,71,1,0,4
4475362,css_html_javascript_shell,0,18750,5,4545,3271,214,4,1,0,2,1
94120285,css_javascript_typescript,0,4434,8,5583,2046,154,4,0,0,0,4
139022359,javascript_shell,0,5823,3,3596,20480,1261,158,87,0,3,68
54615819,go_shell,0,812,4,3629,1664,107,3,1,0,0,2
1353927,c_python,0,19565,6,6221,8079,209,40,38,0,0,2
54228300,html_javascript_python,1,24139,4,1904,1792,36,5,3,0,0,2
22513180,css_html_javascript,0,2922,3,2470,1030,15,2,2,0,0,0
46102589,c_cpp,0,177847,40,2104,8804,83,19,18,0,0,1
1604375,html_java_javascript,0,48335,10,3720,3924,216,7,7,0,0,0
113111650,python_shell,0,1724,4,2030,2528,160,2,1,0,1,0
64414434,css_html_javascript_typescript,0,6221,5,3593,1497,67,2,2,0,0,0
20728281,c_cpp_python_shell,0,105893,5,6101,6054,377,23,22,0,0,1
6417181,html_java,1,28962,4,3133,1761,35,25,22,0,0,3
9670198,c_python_shell,0,11547,7,3959,2705,169,13,5,1,0,7
93906782,go_shell,0,2255,4,2128,1013,81,1,0,0,0,1
30860673,html_java,1,6139,5,2494,3481,236,5,1,0,0,4
43659475,c_cpp_python,0,45431,8,2102,2114,29,8,7,0,0,1
26494018,c_cpp,0,451887,16,7575,11548,144,97,89,0,0,8
18887187,c_cpp_shell,0,1959,4,3783,1642,64,1,1,0,0,0
33055929,c_cpp_shell,0,9262,6,3619,3625,78,12,12,0,0,0
1530210,python_shell,0,2668,2,3158,1707,57,3,3,0,0,0
206387,html_java_javascript,0,57514,12,5683,13837,275,59,39,0,0,20
59370571,css_html_javascript_python_shell,1,125029,8,2541,4144,306,2,2,0,0,0
117377862,go_shell,0,89486,7,3733,7005,202,17,5,0,0,12
538681,java_shell,0,8266,4,4160,2409,182,8,6,0,0,2
1403994,html_javascript_typescript,0,6565,3,3786,1281,142,1,1,0,0,0
35326416,css_html_javascript,0,14544,3,2557,2758,147,4,4,0,0,0
16256144,c_cpp_python_shell,0,498426,12,3916,20085,236,28,8,0,1,19
100034375,css_html_javascript_typescript,0,4727,4,4575,2869,116,11,1,0,0,10
589189,python_shell,0,1191,2,4127,1278,166,2,0,0,0,2
3161336,c_cpp_shell,0,8150,8,3474,1414,104,4,4,0,0,0
32252455,c#_shell,0,49901,2,4253,4390,59,2,1,0,0,1
121307662,css_html_javascript_python_shell,1,1886080,5,4114,4338,155,5,3,0,0,2
12241750,css_html_javascript,0,38725,6,3949,9872,655,33,5,0,0,28
19542768,html_python,0,30263,3,4937,16444,296,2,2,0,0,0
27855953,css_html_javascript,0,900,3,8062,1109,103,1,1,0,0,0
72706,css_html_javascript_shell,0,2096,9,4630,1870,133,4,0,0,0,4
13559106,css_html_javascript_python_shell,1,39710,12,2788,3709,135,1,0,0,1,0
27392543,java_shell,0,129397,10,5936,13656,381,42,30,0,4,8
10707658,html_ruby,0,8209,4,3458,5617,102,3,3,0,0,0
3910314,ruby_shell,0,533244,7,3992,20383,917,30,3,0,0,27
130285553,html_python,0,75938,15,3324,5664,103,7,7,0,0,0
66257173,go_shell,0,7153,3,1794,1019,42,2,0,0,0,2
552926,css_html_javascript_python,1,11649,4,4132,1781,225,18,4,0,0,14
72690,css_html_javascript_python_shell,1,42244,8,3531,8906,332,32,9,0,0,23
89419368,css_html_javascript_python_shell,1,7018,7,2760,3379,205,6,0,0,2,4
104152764,css_html_javascript_python_shell,1,26913,6,1393,4374,80,3,2,0,0,1
98671007,go_shell,0,79834,5,7225,20480,582,167,150,0,0,17
119001901,html_javascript_shell,0,327,3,3343,3817,94,3,1,0,1,1
19160697,css_html_javascript,0,509,3,2646,3767,249,2,0,0,0,2
34839383,html_java_javascript,0,204769,11,3884,10799,280,129,20,0,0,109
27890669,c_cpp_python_shell,0,13959,7,2720,2109,277,1,1,0,0,0
101685663,cpp_python_shell,0,972,5,1421,1221,79,4,3,0,0,1
120080377,cpp_python_shell,0,30652,6,4841,15283,260,63,40,0,0,23
11802259,c_python,0,501366,34,4931,14754,52,47,46,1,0,0
84772499,css_html_javascript_php,0,30405,6,2944,20480,253,15,3,7,0,5
4006755,css_javascript_php,0,12711,6,2531,1177,221,6,0,0,0,6
33647441,css_html_javascript_typescript,0,28684,6,3355,9048,406,30,6,0,0,24
21365581,css_html_javascript_shell,0,33336,8,2756,9414,380,194,3,0,4,187
117646,css_html_javascript_ruby,0,15951,6,4450,7767,429,39,2,1,0,36
46591278,css_javascript_typescript,0,45792,3,2951,2305,114,1,0,0,0,1
72197229,css_html_javascript_shell,0,21230,4,1484,1709,25,2,0,0,1,1
