repo_id,combo,combo_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
37153337,css_html_javascript,0,51385,3,2211,1754,157,22,5,3,1,13
18477927,css_javascript_shell,1,2595,4,1847,993,140,25,8,3,2,12
50603846,html_javascript_shell,0,28200,4,1980,3528,336,137,21,3,47,66
11061773,html_javascript,0,28359,3,2922,7991,966,358,109,7,11,231
57167764,cpp_python_shell,0,9433,5,1944,2084,184,57,36,0,4,17
7874074,css_html_javascript,0,32234,3,3075,871,112,52,10,0,1,41
3428345,html_javascript,0,322,3,3110,408,59,25,1,0,1,23
18511024,css_html_javascript,0,10313,3,1373,720,93,9,1,1,0,7
3623050,ruby_shell,0,262813,4,317,20000,1511,45,20,1,7,17
23044617,html_javascript_typescript,0,49936,3,2496,2968,74,17,1,0,0,16
15116946,javascript_shell_typescript,0,11384,3,1819,1328,280,21,3,1,6,11
38366638,javascript_typescript,0,714,2,2048,558,99,10,2,0,1,7
11570469,objectivec_ruby_shell,0,767,3,1529,406,64,3,1,0,0,2
71939872,javascript_shell_typescript,0,103620,5,1707,2096,300,62,26,1,6,29
74260508,html_javascript_shell,0,21711,4,1681,1541,188,29,0,0,2,27
13886476,ruby_shell,0,573,4,2778,530,50,26,11,0,0,15
14812739,c_python_shell,0,16295,7,3753,4830,526,323,253,0,6,64
1103607,css_html_java_javascript,0,129311,14,3776,20000,898,1091,195,14,149,733
184460,python_shell,0,32018,6,4450,11638,1154,327,114,0,9,204
1206546,javascript_typescript,0,2598,2,3532,1356,352,41,11,0,12,18
51728141,css_html_javascript_shell,0,33071,6,1959,2607,145,70,6,0,2,62
53266139,html_javascript,0,19317,3,2029,4727,320,71,15,0,1,55
53632140,go_shell,0,12154,5,1924,2651,244,88,46,0,6,36
61421257,javascript_shell,0,59856,2,1813,959,205,28,5,0,0,23
38836015,css_javascript,1,1416,2,1182,259,24,3,0,0,0,3
4279682,c_cpp_python_shell,0,67773,14,5762,14252,793,674,300,2,8,364
455600,c_cpp,0,485234,25,1372,20000,500,1399,925,8,116,350
4598984,css_html_javascript,0,2059,6,2429,594,81,12,1,0,0,11
11507163,html_javascript,0,48657,4,2055,4592,45,45,19,0,2,24
102578345,c_python_shell,0,263107,20,1393,3419,273,124,24,3,47,50
16072585,css_html_javascript,0,14185,4,2719,6813,1062,133,26,2,14,91
44150497,css_html_javascript_shell,0,2751,4,2074,1287,599,11,4,0,0,7
9690430,html_javascript,0,5409,2,2372,230,11,1,0,0,0,1
12044132,html_python,0,52060,6,2873,3887,220,46,4,0,4,38
56899284,css_html_javascript_typescript,0,71329,6,1933,2909,214,58,11,4,6,37
59114705,html_javascript,0,3447,2,1444,423,83,97,4,0,0,93
21399598,css_html_javascript_shell,0,50829,6,2547,4934,458,252,54,7,5,186
11855195,javascript_typescript,0,813,2,2832,317,67,6,2,0,1,3
39013909,javascript_typescript,0,243,2,2043,124,48,1,0,0,0,1
73614722,java_shell,0,352177,2,1692,1277,19,7,4,0,1,2
15225670,java_javascript_objectivec,0,192641,12,2753,8740,504,418,72,7,63,276
59010815,css_javascript_shell,1,3420,6,516,304,47,5,0,0,0,5
11829145,html_javascript_ruby,0,3825,6,2623,2633,40,58,22,0,9,27
126365965,java_javascript,0,24684,8,1153,1130,65,2,1,0,0,1
75867720,css_html_javascript,0,46895,3,1657,376,125,5,0,0,0,5
65711522,c_cpp_python_shell,0,237108,10,1268,20000,604,402,229,0,40,133
2278524,javascript_shell,0,2020,3,2789,2066,316,44,11,2,3,28
47039255,css_html_javascript_typescript,0,16039,4,2038,602,40,19,2,0,3,14
1607357,html_javascript,0,3229,3,3482,1703,261,47,20,2,2,23
8424040,css_html_javascript,0,77163,4,3787,9051,623,229,41,0,4,184
75642389,javascript_shell_typescript,0,85619,4,2642,6776,468,224,82,0,27,115
25095239,css_html_javascript,0,3107,3,2409,854,59,13,0,0,1,12
82285884,html_javascript,0,327279,8,1122,1618,59,17,0,0,0,17
2889328,css_javascript_php,1,295990,4,2778,20000,69,679,98,5,105,471
10365411,css_javascript,1,10390,2,2622,2621,221,99,4,0,11,84
46806184,go_shell,0,291408,7,2036,13768,3737,424,47,11,128,238
12358097,c_objectivec,0,23106,4,3078,1181,107,42,3,0,0,39
59720190,html_python,0,3451,5,1859,2515,348,80,26,4,3,47
1198539,css_html_javascript_python_shell,0,32560,6,3840,4530,1,30,12,0,1,17
16989371,css_html_javascript_typescript,0,18108,6,2688,4131,373,80,9,1,3,67
122734569,go_shell,0,2264,3,1240,639,67,17,0,0,0,17
30161665,css_html_javascript,0,36879,3,2311,5992,229,249,14,1,7,227
19463625,python_shell,0,708,4,2603,692,126,34,5,1,8,20
924303,css_html_javascript_shell,0,8242,6,3399,1517,243,34,7,0,3,24
8538132,css_html_javascript,0,36178,4,3025,242,42,14,0,0,0,14
658518,python_shell,0,74769,5,3802,20000,879,392,139,5,39,209
17804584,java_javascript,0,157,2,1653,149,13,1,1,0,0,0
80472665,html_javascript,0,43375,3,1590,695,82,1,1,0,0,0
11116372,css_html_javascript_shell,0,151842,6,2920,8791,338,208,20,4,10,174
43797718,html_javascript,0,1461,2,1154,648,117,10,2,3,1,4
104172832,javascript_shell_typescript,0,17324,5,1380,3859,155,29,2,0,1,26
75164823,java_shell,0,9747,4,1634,1630,353,269,31,0,9,229
42625970,python_shell,0,238375,3,2110,404,96,28,6,0,0,22
5888353,css_html_javascript_python_shell,0,10497,5,3437,3993,601,149,40,0,7,102
1631570,php_shell,0,5829,3,3713,1354,132,34,10,1,0,23
13142126,javascript_typescript,0,24300,4,2816,3753,212,68,0,6,3,59
5448530,css_html_javascript,0,16494,3,1232,1401,75,2,0,0,0,2
95412229,css_html_javascript,0,1012,4,1161,233,13,4,0,0,1,3
93253246,css_html_javascript_php,0,690555,4,2439,5616,714,35,3,0,1,31
45147841,css_html_javascript_shell,0,18627,4,1926,1596,121,210,52,0,6,152
65866559,css_html_javascript,0,31690,3,1301,481,34,6,1,0,0,5
714074,html_javascript_shell,0,120527,3,3999,4708,419,106,43,1,7,55
58616946,javascript_shell,0,5927,4,1805,844,105,10,0,0,0,10
49876476,java_shell,0,401363,5,1002,20000,345,142,40,0,11,91
6297520,python_shell,0,170757,7,3201,6226,185,131,54,1,2,74
40511756,css_html_javascript_typescript,0,7160,5,3122,2737,253,57,3,0,10,44
42586612,python_shell,0,24597,6,1529,734,30,6,0,0,2,4
381979,css_html_javascript_typescript,0,33344,6,4449,5689,146,102,14,2,12,74
32623292,html_typescript,0,8681,2,2182,1607,251,64,0,0,0,64
1272424,html_javascript,0,9849,2,3802,961,137,15,1,0,4,10
28513398,objectivec_ruby,0,925,3,1691,254,42,4,1,0,1,2
28538501,css_html_javascript_shell,0,13979,5,2376,673,105,31,2,0,1,28
7693799,javascript_shell_typescript,0,13487,3,2900,2113,214,79,2,12,12,53
931039,html_javascript_shell,0,2484,4,3837,2288,211,66,35,0,17,14
19757917,html_javascript,0,459,2,2530,173,28,4,1,0,0,3
6247705,go_shell,0,1379,2,3111,764,228,31,13,0,0,18
22475123,css_html_javascript_shell,0,32568,5,2663,2307,145,44,11,3,13,17
85095608,css_html_javascript_typescript,0,14169,4,1565,2930,125,39,17,0,6,16
18062944,go_shell,0,7156,7,2652,4122,374,119,82,0,1,36
50146229,html_javascript,0,77123,3,1986,3772,127,90,38,0,5,47
743723,javascript_shell,0,583,3,2794,398,50,14,0,0,3,11
2139017,ruby_shell,0,602,5,3565,707,119,9,0,0,1,8
107119649,html_python,0,51633,4,1317,176,8,1,0,0,0,1
2163263,html_javascript,0,16933,2,3615,5661,265,120,22,2,20,76
942903,javascript_shell,0,1257,2,3911,683,96,12,1,0,5,6
66179765,html_java,0,34308,3,1949,410,10,1,0,0,0,1
99234994,css_html_javascript,0,379039,3,461,170,14,1,0,0,0,1
2006876,java_shell,0,101265,18,3645,11356,1254,756,64,11,19,662
76413186,html_java,0,26581,4,1657,298,26,11,3,1,0,7
