id,languages,classifier,clfType,fileType
29096702,"['css', 'php', 'html', 'javascript']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
566426,"['php', 'shell']",Shell*_PHP*,IMI,"['.sh', '.bsh', '.zsh', '.php']"
67058735,"['c++', 'c', 'objective-c', 'shell', 'javascript', 'html', 'css']",Java-C_C++-Objective-C_C-C++,FFI,"['.c', '.cpp', '.java', '.c', '.mm']"
3337027,"['c++', 'c', 'python', 'shell']",Java-C_C++-Objective-C_Java-Python_C-C++,FFI,"['.c', '.cpp', '.py', '.java', '.mm', '.java', '.c']"
34169414,"['html', 'javascript', 'python', 'php', 'css', 'shell']",JavaScript*_Shell*_Python*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.py']"
44998824,"['python', 'shell']",Shell*_Python*,IMI,"['.sh', '.bsh', '.zsh', '.py']"
14116604,"['python', 'shell']",Shell*_Python*,IMI,"['.sh', '.bsh', '.zsh', '.py']"
55277533,"['go', 'shell']",C-Go_Ruby-Go,FFI,"['.go', '.go']"
13766391,"['javascript', 'php', 'css', 'html', 'shell']",JavaScript*_Shell*_PHP*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.php']"
65617535,"['html', 'css', 'javascript', 'ruby', 'shell']",JavaScript*_Shell*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
40659385,"['go', 'c']",C-Go,FFI,['.go']
5989991,"['python', 'shell']",Shell*_Python*,IMI,"['.py', '.sh', '.bsh', '.zsh']"
134909880,"['python', 'c++']",C-Python,FFI,"['.c', '.py']"
3816238,"['java', 'html', 'css', 'shell', 'javascript']",JavaScript*_Java-C_Java*_Shell*,FFI_IMI,"['.java', '.c', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.java']"
44672744,"['go', 'c', 'shell', 'python', 'html']",Java-C_Shell*_Python*_C-Go_Go*,FFI_IMI,"['.go', '.java', '.c', '.sh', '.bsh', '.zsh', '.py', '.go']"
22734848,"['shell', 'c']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
229738,"['java', 'html', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
42728217,"['c++', 'c', 'shell', 'python']",Shell*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
